workforce_snapshot_key,snapshot_date,employee_id,dept_code,job_code,band,manager_employee_id,employment_status,hire_date,tenure_months,months_since_last_move,last_move_date,seniority_risk_window_flag,seniority_risk_window_label,warning_letter_count_12m,is_excluded_from_risk_list,exclusion_reason,flight_risk_score,flight_risk_band
45,2023-04-01,E000002,01CN000010,MJ011M,Band 4,E000870,Active,2020-07-01,33,33,2020-07-01,False,,0,False,,14.87,Low
46,2023-05-01,E000002,01CN000010,MJ011M,Band 4,E000870,Active,2020-07-01,34,0,2023-05-01,False,,0,False,,12.46,Low
47,2023-06-01,E000002,01CN000010,MJ011M,Band 4,E000870,Active,2020-07-01,35,1,2023-05-01,False,,0,False,,11.66,Low
48,2023-07-01,E000002,01CN000010,MJ011M,Band 4,E000870,Active,2020-07-01,36,2,2023-05-01,False,,0,False,,8.37,Low
49,2023-08-01,E000002,01CN000010,MJ011M,Band 4,E000870,Active,2020-07-01,37,3,2023-05-01,False,,0,False,,7.57,Low
50,2023-09-01,E000002,01CN000010,MJ011M,Band 4,E000870,Active,2020-07-01,38,4,2023-05-01,False,,0,False,,6.74,Low
51,2023-10-01,E000002,01CN000010,MJ011M,Band 4,E000870,Active,2020-07-01,39,5,2023-05-01,False,,0,False,,6.74,Low
52,2023-11-01,E000002,01CN000010,MJ011M,Band 4,E000870,Active,2020-07-01,40,6,2023-05-01,False,,0,False,,6.74,Low
53,2023-12-01,E000002,01CN000010,MJ011M,Band 4,E000870,Active,2020-07-01,41,7,2023-05-01,False,,0,False,,6.74,Low
54,2024-01-01,E000002,01CN000010,MJ011M,Band 4,E000870,Active,2020-07-01,42,8,2023-05-01,False,,0,False,,11.22,Low
55,2024-02-01,E000002,01CN000010,MJ011M,Band 4,E000870,Active,2020-07-01,43,9,2023-05-01,False,,0,False,,10.68,Low
56,2024-03-01,E000002,01CN000010,MJ011M,Band 4,E000870,Active,2020-07-01,44,10,2023-05-01,False,,0,False,,8.68,Low
57,2024-04-01,E000002,01CN000010,MJ011M,Band 4,E000870,Active,2020-07-01,45,0,2024-04-01,False,,0,False,,8.68,Low
58,2024-05-01,E000002,01CN000010,MJ011M,Band 4,E000870,Active,2020-07-01,46,1,2024-04-01,False,,0,False,,10.26,Low
59,2024-06-01,E000002,01CN000010,MJ011M,Band 4,E000870,Active,2020-07-01,47,2,2024-04-01,False,,0,False,,8.88,Low
60,2024-07-01,E000002,01CN000010,MJ011M,Band 4,E000870,Active,2020-07-01,48,0,2024-07-01,False,,0,False,,8.52,Low
61,2024-08-01,E000002,01CN000010,MJ011M,Band 4,E000870,Active,2020-07-01,49,1,2024-07-01,False,,0,False,,9.02,Low
62,2024-09-01,E000002,01CN000010,MJ011M,Band 4,E000870,Active,2020-07-01,50,2,2024-07-01,False,,0,False,,8.02,Low
63,2024-10-01,E000002,01CN000010,MJ011M,Band 4,E000870,Active,2020-07-01,51,3,2024-07-01,False,,0,False,,8.02,Low
64,2024-11-01,E000002,01CN000010,MJ011M,Band 4,E000870,Active,2020-07-01,52,4,2024-07-01,False,,0,False,,8.02,Low
65,2024-12-01,E000002,01CN000010,MJ011M,Band 4,E000870,Active,2020-07-01,53,5,2024-07-01,False,,0,False,,8.02,Low
66,2025-01-01,E000002,01CN000010,MJ011M,Band 4,E000870,Active,2020-07-01,54,6,2024-07-01,False,,0,False,,9.87,Low
67,2025-02-01,E000002,01CN000010,MJ011M,Band 4,E000870,Active,2020-07-01,55,7,2024-07-01,False,,0,False,,9.87,Low
68,2025-03-01,E000002,01CN000010,MJ011M,Band 4,E000870,Active,2020-07-01,56,8,2024-07-01,False,,0,False,,9.87,Low
69,2025-04-01,E000002,01CN000010,MJ011M,Band 4,E000870,Active,2020-07-01,57,9,2024-07-01,False,,0,False,,10.2,Low
70,2025-05-01,E000002,01CN000010,MJ011M,Band 4,E000870,Active,2020-07-01,58,10,2024-07-01,False,,0,False,,9.87,Low
71,2025-06-01,E000002,01CN000010,MJ011M,Band 4,E000870,Active,2020-07-01,59,11,2024-07-01,False,,0,False,,9.87,Low
72,2025-07-01,E000002,01CN000010,MJ011M,Band 4,E000870,Active,2020-07-01,60,12,2024-07-01,False,,0,False,,9.21,Low
73,2025-08-01,E000002,01CN000010,MJ011M,Band 4,E000870,Active,2020-07-01,61,13,2024-07-01,False,,0,False,,9.21,Low
74,2025-09-01,E000002,01CN000010,MJ011M,Band 4,E000870,Active,2020-07-01,62,14,2024-07-01,False,,0,False,,9.21,Low
75,2025-10-01,E000002,01CN000010,MJ011M,Band 4,E000870,Active,2020-07-01,63,15,2024-07-01,False,,0,False,,11.79,Low
76,2025-11-01,E000002,01CN000010,MJ011M,Band 4,E000870,Active,2020-07-01,64,16,2024-07-01,False,,0,False,,11.17,Low
77,2025-12-01,E000002,01CN000010,MJ011M,Band 4,E000870,Active,2020-07-01,65,17,2024-07-01,False,,0,False,,9.71,Low
78,2021-01-01,E000003,01CN000001,MJ011M,Band 5,E000167,Active,2020-11-01,2,2,2020-11-01,False,,0,False,,22.98,Low
79,2021-02-01,E000003,01CN000001,MJ011M,Band 5,E000167,Active,2020-11-01,3,3,2020-11-01,False,,0,False,,19.44,Low
80,2021-03-01,E000003,01CN000001,MJ011M,Band 5,E000167,Active,2020-11-01,4,4,2020-11-01,False,,0,False,,20.44,Low
81,2021-04-01,E000003,01CN000001,MJ011M,Band 5,E000167,Active,2020-11-01,5,5,2020-11-01,False,,0,False,,21.15,Low
82,2021-05-01,E000003,01CN000001,MJ011M,Band 5,E000167,Active,2020-11-01,6,6,2020-11-01,False,,0,False,,19.94,Low
83,2021-06-01,E000003,01CN000001,MJ011M,Band 5,E000167,Active,2020-11-01,7,7,2020-11-01,False,,0,False,,23.65,Low
84,2021-07-01,E000003,01CN000001,MJ011M,Band 5,E000167,Active,2020-11-01,8,8,2020-11-01,False,,0,False,,18.98,Low
85,2021-08-01,E000003,01CN000001,MJ011M,Band 5,E000167,Active,2020-11-01,9,9,2020-11-01,False,,0,False,,21.27,Low
86,2021-09-01,E000003,01CN000001,MJ011M,Band 5,E000167,Active,2020-11-01,10,10,2020-11-01,False,,0,False,,22.94,Low
87,2021-10-01,E000003,01CN000001,MJ011M,Band 5,E000167,Active,2020-11-01,11,11,2020-11-01,True,12M_ANNIVERSARY,0,False,,27.23,Low
88,2021-11-01,E000003,01CN000001,MJ011M,Band 5,E000167,Active,2020-11-01,12,0,2021-11-01,True,12M_ANNIVERSARY,0,False,,30.24,Low
89,2021-12-01,E000003,01CN000001,MJ011M,Band 5,E000167,Active,2020-11-01,13,1,2021-11-01,True,12M_ANNIVERSARY,0,False,,26.45,Low
90,2022-01-01,E000003,01CN000001,MJ011M,Band 5,E000167,Active,2020-11-01,14,2,2021-11-01,False,,0,False,,21.64,Low
91,2022-02-01,E000003,01CN000001,MJ011M,Band 5,E000167,Active,2020-11-01,15,3,2021-11-01,False,,0,False,,21.22,Low
92,2022-03-01,E000003,01CN000001,MJ011M,Band 5,E000167,Active,2020-11-01,16,4,2021-11-01,False,,0,False,,22.1,Low
93,2022-04-01,E000003,01CN000001,MJ011M,Band 5,E000167,Active,2020-11-01,17,5,2021-11-01,True,18M_ANNIVERSARY,0,False,,27.8,Low
94,2022-05-01,E000003,01CN000001,MJ011M,Band 5,E000167,Terminated,2020-11-01,18,6,2021-11-01,True,18M_ANNIVERSARY,0,False,,29.14,Low
95,2021-01-01,E000004,01CN000037,MJ010S,Band 4,E001677,Active,2016-09-01,52,52,2016-09-01,False,,0,False,,22.44,Low
96,2021-02-01,E000004,01CN000037,MJ010S,Band 4,E001677,Active,2016-09-01,53,53,2016-09-01,False,,0,False,,23.76,Low
97,2021-03-01,E000004,01CN000037,MJ010S,Band 4,E001677,Active,2016-09-01,54,54,2016-09-01,False,,0,False,,26.92,Low
98,2021-04-01,E000004,01CN000037,MJ010S,Band 4,E001677,Active,2016-09-01,55,55,2016-09-01,False,,0,False,,27.78,Low
99,2021-05-01,E000004,01CN000037,MJ010S,Band 4,E001677,Active,2016-09-01,56,56,2016-09-01,False,,0,False,,25.22,Low
100,2021-06-01,E000004,01CN000037,MJ010S,Band 4,E001677,Active,2016-09-01,57,57,2016-09-01,False,,0,False,,27.71,Low
101,2021-07-01,E000004,01CN000037,MJ010S,Band 4,E001677,Active,2016-09-01,58,58,2016-09-01,False,,0,False,,27.99,Low
102,2021-08-01,E000004,01CN000037,MJ010S,Band 4,E001677,Terminated,2016-09-01,59,59,2016-09-01,False,,0,False,,28.76,Low
103,2021-01-01,E000005,01QT000010,FC006M,Band 6,E000915,Active,2014-09-01,76,76,2014-09-01,False,,0,False,,29.66,Low
104,2021-02-01,E000005,01QT000010,FC006M,Band 6,E000915,Active,2014-09-01,77,77,2014-09-01,False,,0,False,,29.66,Low
105,2021-03-01,E000005,01QT000010,FC006M,Band 6,E000915,Active,2014-09-01,78,78,2014-09-01,False,,0,False,,29.66,Low
106,2021-04-01,E000005,01QT000010,FC006M,Band 6,E000915,Active,2014-09-01,79,79,2014-09-01,False,,0,False,,29.66,Low
107,2021-05-01,E000005,01QT000010,FC006M,Band 6,E000915,Active,2014-09-01,80,80,2014-09-01,False,,0,False,,29.66,Low
108,2021-06-01,E000005,01QT000010,FC006M,Band 6,E000915,Active,2014-09-01,81,81,2014-09-01,False,,0,False,,29.66,Low
109,2021-07-01,E000005,01QT000010,FC006M,Band 6,E000915,Active,2014-09-01,82,82,2014-09-01,False,,0,False,,29.66,Low
110,2021-08-01,E000005,01QT000010,FC006M,Band 6,E000915,Active,2014-09-01,83,83,2014-09-01,False,,0,False,,29.66,Low
111,2021-09-01,E000005,01QT000010,FC006M,Band 6,E000915,Active,2014-09-01,84,84,2014-09-01,False,,0,False,,28.0,Low
112,2021-10-01,E000005,01QT000010,FC006M,Band 6,E000915,Active,2014-09-01,85,85,2014-09-01,False,,0,False,,28.0,Low
113,2021-11-01,E000005,01QT000010,FC006M,Band 6,E000915,Active,2014-09-01,86,86,2014-09-01,False,,0,False,,28.0,Low
114,2021-12-01,E000005,01QT000010,FC006M,Band 6,E000915,Active,2014-09-01,87,87,2014-09-01,False,,0,False,,28.0,Low
115,2022-01-01,E000005,01QT000010,FC006M,Band 6,E000915,Active,2014-09-01,88,88,2014-09-01,False,,0,False,,30.06,Low
116,2022-02-01,E000005,01QT000010,FC006M,Band 6,E000915,Active,2014-09-01,89,89,2014-09-01,False,,0,False,,30.06,Low
117,2022-03-01,E000005,01QT000010,FC006M,Band 6,E000915,Active,2014-09-01,90,90,2014-09-01,False,,0,False,,30.06,Low
118,2022-04-01,E000005,01QT000010,FC006M,Band 6,E000915,Active,2014-09-01,91,91,2014-09-01,False,,0,False,,30.06,Low
119,2022-05-01,E000005,01QT000010,FC006M,Band 6,E000915,Active,2014-09-01,92,92,2014-09-01,False,,0,False,,30.06,Low
120,2022-06-01,E000005,01QT000010,FC006M,Band 6,E000915,Active,2014-09-01,93,93,2014-09-01,False,,0,False,,30.06,Low
121,2022-07-01,E000005,01QT000010,FC006M,Band 6,E000915,Active,2014-09-01,94,94,2014-09-01,False,,0,False,,30.06,Low
122,2022-08-01,E000005,01QT000010,FC006M,Band 6,E000915,Active,2014-09-01,95,95,2014-09-01,False,,0,False,,30.06,Low
123,2022-09-01,E000005,01QT000010,FC006M,Band 6,E000915,Active,2014-09-01,96,96,2014-09-01,False,,0,False,,28.0,Low
124,2022-10-01,E000005,01QT000010,FC006M,Band 6,E000915,Active,2014-09-01,97,97,2014-09-01,False,,0,False,,28.0,Low
125,2022-11-01,E000005,01QT000010,FC006M,Band 6,E000915,Active,2014-09-01,98,98,2014-09-01,False,,0,False,,28.0,Low
126,2022-12-01,E000005,01QT000010,FC006M,Band 6,E000915,Active,2014-09-01,99,99,2014-09-01,False,,0,False,,28.0,Low
127,2023-01-01,E000005,01QT000010,FC006M,Band 6,E000915,Active,2014-09-01,100,100,2014-09-01,False,,0,False,,29.82,Low
128,2023-02-01,E000005,01QT000010,FC006M,Band 6,E000915,Active,2014-09-01,101,101,2014-09-01,False,,0,False,,29.82,Low
129,2023-03-01,E000005,01QT000010,FC006M,Band 6,E000915,Active,2014-09-01,102,102,2014-09-01,False,,0,False,,29.82,Low
130,2023-04-01,E000005,01QT000010,FC006M,Band 6,E000915,Active,2014-09-01,103,103,2014-09-01,False,,0,False,,29.82,Low
131,2023-05-01,E000005,01QT000010,FC006M,Band 6,E000915,Active,2014-09-01,104,104,2014-09-01,False,,0,False,,29.82,Low
132,2023-06-01,E000005,01QT000010,FC006M,Band 6,E000915,Active,2014-09-01,105,105,2014-09-01,False,,0,False,,29.82,Low
133,2023-07-01,E000005,01QT000010,FC006M,Band 6,E000915,Active,2014-09-01,106,106,2014-09-01,False,,0,False,,29.82,Low
134,2023-08-01,E000005,01QT000010,FC006M,Band 6,E000915,Active,2014-09-01,107,107,2014-09-01,False,,0,False,,29.82,Low
135,2023-09-01,E000005,01QT000010,FC006M,Band 6,E000915,Active,2014-09-01,108,108,2014-09-01,False,,0,False,,28.0,Low
136,2023-10-01,E000005,01QT000010,FC006M,Band 6,E000915,Active,2014-09-01,109,109,2014-09-01,False,,0,False,,28.0,Low
137,2023-11-01,E000005,01QT000010,FC006M,Band 6,E000915,Active,2014-09-01,110,110,2014-09-01,False,,0,False,,28.0,Low
138,2023-12-01,E000005,01QT000010,FC006M,Band 6,E000915,Active,2014-09-01,111,111,2014-09-01,False,,0,False,,28.0,Low
139,2024-01-01,E000005,01QT000010,FC006M,Band 6,E000915,Active,2014-09-01,112,112,2014-09-01,False,,0,False,,30.02,Low
140,2024-02-01,E000005,01QT000010,FC006M,Band 6,E000915,Active,2014-09-01,113,113,2014-09-01,False,,0,False,,30.02,Low
141,2024-03-01,E000005,01QT000010,FC006M,Band 6,E000915,Active,2014-09-01,114,114,2014-09-01,False,,0,False,,30.02,Low
142,2024-04-01,E000005,01QT000010,FC006M,Band 6,E000915,Active,2014-09-01,115,115,2014-09-01,False,,0,False,,30.02,Low
143,2024-05-01,E000005,01QT000010,FC006M,Band 6,E000915,Active,2014-09-01,116,116,2014-09-01,False,,0,False,,30.02,Low
144,2024-06-01,E000005,01QT000010,FC006M,Band 6,E000915,Active,2014-09-01,117,117,2014-09-01,False,,0,False,,30.02,Low
145,2024-07-01,E000005,01QT000010,FC006M,Band 6,E000915,Active,2014-09-01,118,118,2014-09-01,False,,0,False,,30.02,Low
146,2024-08-01,E000005,01QT000010,FC006M,Band 6,E000915,Active,2014-09-01,119,119,2014-09-01,False,,0,False,,30.02,Low
147,2024-09-01,E000005,01QT000010,FC006M,Band 6,E000915,Active,2014-09-01,120,120,2014-09-01,False,,0,False,,28.0,Low
148,2024-10-01,E000005,01QT000010,FC006M,Band 6,E000915,Active,2014-09-01,121,121,2014-09-01,False,,0,False,,28.0,Low
149,2024-11-01,E000005,01QT000010,FC006M,Band 6,E000915,Active,2014-09-01,122,122,2014-09-01,False,,0,False,,28.0,Low
150,2024-12-01,E000005,01QT000010,FC006M,Band 6,E000915,Active,2014-09-01,123,123,2014-09-01,False,,1,False,,28.0,Low
151,2025-01-01,E000005,01QT000010,FC006M,Band 6,E000915,Active,2014-09-01,124,124,2014-09-01,False,,1,False,,29.79,Low
152,2025-02-01,E000005,01QT000010,FC006M,Band 6,E000915,Active,2014-09-01,125,125,2014-09-01,False,,1,False,,29.79,Low
153,2025-03-01,E000005,01QT000010,FC006M,Band 6,E000915,Active,2014-09-01,126,126,2014-09-01,False,,1,False,,29.79,Low
154,2025-04-01,E000005,01QT000010,FC006M,Band 6,E000915,Active,2014-09-01,127,127,2014-09-01,False,,1,False,,29.79,Low
155,2025-05-01,E000005,01QT000010,FC006M,Band 6,E000915,Active,2014-09-01,128,128,2014-09-01,False,,1,False,,29.79,Low
156,2025-06-01,E000005,01QT000010,FC006M,Band 6,E000915,Active,2014-09-01,129,129,2014-09-01,False,,1,False,,29.79,Low
157,2025-07-01,E000005,01QT000010,FC006M,Band 6,E000915,Active,2014-09-01,130,130,2014-09-01,False,,1,False,,29.79,Low
158,2025-08-01,E000005,01QT000010,FC006M,Band 6,E000915,Active,2014-09-01,131,131,2014-09-01,False,,1,False,,29.79,Low
159,2025-09-01,E000005,01QT000010,FC006M,Band 6,E000915,Active,2014-09-01,132,132,2014-09-01,False,,1,False,,28.0,Low
160,2025-10-01,E000005,01QT000010,FC006M,Band 6,E000915,Active,2014-09-01,133,133,2014-09-01,False,,1,False,,28.0,Low
161,2025-11-01,E000005,01QT000010,FC006M,Band 6,E000915,Active,2014-09-01,134,134,2014-09-01,False,,1,False,,28.0,Low
162,2025-12-01,E000005,01QT000010,FC006M,Band 6,E000915,Active,2014-09-01,135,135,2014-09-01,False,,0,False,,28.0,Low
163,2021-01-01,E000006,01QT000022,VE001S,Band 4,E000180,Active,2019-04-01,21,21,2019-04-01,False,,0,False,,4.58,Low
164,2021-02-01,E000006,01QT000022,VE001S,Band 4,E000180,Active,2019-04-01,22,22,2019-04-01,False,,0,False,,10.67,Low
165,2021-03-01,E000006,01QT000022,VE001S,Band 4,E000180,Active,2019-04-01,23,23,2019-04-01,False,,0,False,,9.37,Low
166,2021-04-01,E000006,01QT000022,VE001S,Band 4,E000180,Active,2019-04-01,24,24,2019-04-01,False,,0,False,,10.12,Low
167,2021-05-01,E000006,01QT000022,VE001S,Band 4,E000180,Active,2019-04-01,25,25,2019-04-01,False,,0,False,,8.07,Low
168,2021-06-01,E000006,01QT000022,VE001S,Band 4,E000180,Active,2019-04-01,26,26,2019-04-01,False,,0,False,,5.89,Low
169,2021-07-01,E000006,01QT000022,VE001S,Band 4,E000180,Active,2019-04-01,27,27,2019-04-01,False,,0,False,,12.83,Low
170,2021-08-01,E000006,01QT000022,VE001S,Band 4,E000180,Active,2019-04-01,28,28,2019-04-01,False,,0,False,,15.86,Low
171,2021-09-01,E000006,01QT000022,VE001S,Band 4,E000180,Active,2019-04-01,29,29,2019-04-01,False,,0,False,,13.14,Low
172,2021-10-01,E000006,01QT000022,VE001S,Band 4,E000180,Active,2019-04-01,30,30,2019-04-01,False,,0,False,,15.83,Low
173,2021-11-01,E000006,01QT000022,VE001S,Band 4,E000180,Active,2019-04-01,31,31,2019-04-01,False,,0,False,,15.74,Low
174,2021-12-01,E000006,01QT000022,VE001S,Band 4,E000180,Active,2019-04-01,32,32,2019-04-01,False,,0,False,,18.14,Low
175,2022-01-01,E000006,01QT000022,VE001S,Band 4,E000180,Active,2019-04-01,33,33,2019-04-01,False,,0,False,,15.54,Low
176,2022-02-01,E000006,01QT000022,VE001S,Band 4,E000180,Active,2019-04-01,34,34,2019-04-01,False,,0,False,,16.99,Low
177,2022-03-01,E000006,01QT000022,VE001S,Band 4,E000180,Active,2019-04-01,35,35,2019-04-01,False,,0,False,,21.56,Low
178,2022-04-01,E000006,01QT000022,VE001S,Band 4,E000180,Active,2019-04-01,36,36,2019-04-01,False,,0,False,,21.75,Low
179,2022-05-01,E000006,01QT000022,VE001S,Band 4,E000180,Active,2019-04-01,37,37,2019-04-01,False,,0,False,,20.24,Low
180,2022-06-01,E000006,01QT000022,VE001S,Band 4,E000180,Active,2019-04-01,38,38,2019-04-01,False,,0,False,,21.6,Low
181,2022-07-01,E000006,01QT000022,VE001S,Band 4,E000180,Active,2019-04-01,39,39,2019-04-01,False,,0,False,,20.88,Low
182,2022-08-01,E000006,01QT000022,VE001S,Band 4,E000180,Active,2019-04-01,40,40,2019-04-01,False,,0,False,,21.74,Low
183,2022-09-01,E000006,01QT000022,VE001S,Band 4,E000180,Active,2019-04-01,41,0,2022-09-01,False,,0,False,,10.0,Low
184,2022-10-01,E000006,01QT000022,VE001S,Band 4,E000180,Active,2019-04-01,42,1,2022-09-01,False,,0,False,,11.75,Low
185,2022-11-01,E000006,01QT000022,VE001S,Band 4,E000180,Active,2019-04-01,43,2,2022-09-01,False,,0,False,,14.13,Low
186,2022-12-01,E000006,01QT000022,VE001S,Band 4,E000180,Active,2019-04-01,44,3,2022-09-01,False,,0,False,,9.33,Low
187,2023-01-01,E000006,01QT000022,VE001S,Band 4,E000180,Active,2019-04-01,45,4,2022-09-01,False,,0,False,,11.46,Low
188,2023-02-01,E000006,01QT000022,VE001S,Band 4,E000180,Active,2019-04-01,46,5,2022-09-01,False,,0,False,,11.42,Low
189,2023-03-01,E000006,01QT000022,VE001S,Band 4,E000180,Active,2019-04-01,47,6,2022-09-01,False,,0,False,,13.21,Low
190,2023-04-01,E000006,01QT000022,VE001S,Band 4,E000180,Active,2019-04-01,48,7,2022-09-01,False,,0,False,,11.87,Low
191,2023-05-01,E000006,01QT000022,VE001S,Band 4,E000180,Active,2019-04-01,49,8,2022-09-01,False,,0,False,,12.0,Low
192,2023-06-01,E000006,01QT000022,VE001S,Band 4,E000180,Active,2019-04-01,50,9,2022-09-01,False,,0,False,,15.12,Low
193,2023-07-01,E000006,01QT000022,VE001S,Band 4,E000180,Active,2019-04-01,51,10,2022-09-01,False,,0,False,,14.0,Low
194,2023-08-01,E000006,01QT000022,VE001S,Band 4,E000180,Active,2019-04-01,52,11,2022-09-01,False,,0,False,,17.62,Low
195,2023-09-01,E000006,01QT000022,VE001S,Band 4,E000180,Active,2019-04-01,53,12,2022-09-01,False,,0,False,,12.88,Low
