flight_risk_score_key,employee_id,snapshot_date,dept_code,band,employment_status,salary_gap_to_p50_pct,kpi_score,pay_freeze_months,tenure_months,months_since_last_move,seniority_risk_window_flag,risk_component_salary,risk_component_kpi,risk_component_promo,risk_component_freeze,risk_component_seniority,weight_salary_used,weight_kpi_used,weight_promo_used,weight_freeze_used,weight_seniority_used,missing_features,warning_letter_count_12m,is_excluded_from_risk_list,exclusion_reason,flight_risk_score,flight_risk_band,reason_salary,reason_kpi,reason_promo,reason_freeze,reason_seniority
11,E000001,2021-11-01,01CN000087,Band 2,Active,-0.0792,62.3,0,47,47,False,0.132,0.1283,0.6389,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,24.82,Low,Lương thấp hơn P50 thị trường 7.9%,Điểm KPI 62.3/100,Lần đổi vai gần nhất cách đây 47 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 47 tháng)
12,E000001,2021-12-01,01CN000087,Band 2,Active,-0.0468,74.5,0,48,48,False,0.078,0.0,0.6667,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,21.23,Low,Lương thấp hơn P50 thị trường 4.7%,Điểm KPI 74.5/100,Lần đổi vai gần nhất cách đây 48 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 48 tháng)
13,E000001,2022-01-01,01CN000087,Band 2,Active,-0.1092,55.5,0,49,49,False,0.182,0.2417,0.6944,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,30.04,Low,Lương thấp hơn P50 thị trường 10.9%,Điểm KPI 55.5/100,Lần đổi vai gần nhất cách đây 49 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 49 tháng)
14,E000001,2022-02-01,01CN000087,Band 2,Active,-0.1092,63.9,0,50,50,False,0.182,0.1017,0.7222,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,27.24,Low,Lương thấp hơn P50 thị trường 10.9%,Điểm KPI 63.9/100,Lần đổi vai gần nhất cách đây 50 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 50 tháng)
15,E000001,2022-03-01,01CN000087,Band 2,Active,-0.1092,53.7,0,51,51,False,0.182,0.2717,0.75,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,32.18,Low,Lương thấp hơn P50 thị trường 10.9%,Điểm KPI 53.7/100,Lần đổi vai gần nhất cách đây 51 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 51 tháng)
16,E000001,2022-04-01,01CN000087,Band 2,Active,-0.1092,63.3,0,52,52,False,0.182,0.1117,0.7778,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,28.88,Low,Lương thấp hơn P50 thị trường 10.9%,Điểm KPI 63.3/100,Lần đổi vai gần nhất cách đây 52 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 52 tháng)
17,E000001,2022-05-01,01CN000087,Band 2,Terminated,-0.1092,57.4,0,53,53,False,0.182,0.21,0.8056,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,32.03,Low,Lương thấp hơn P50 thị trường 10.9%,Điểm KPI 57.4/100,Lần đổi vai gần nhất cách đây 53 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 53 tháng)
18,E000002,2021-01-01,01CN000010,Band 4,Active,-0.0936,59.4,0,6,6,False,0.156,0.1767,0.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,10.54,Low,Lương thấp hơn P50 thị trường 9.4%,Điểm KPI 59.4/100,Đổi vai gần đây (6 tháng trước),Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 6 tháng)
19,E000002,2021-02-01,01CN000010,Band 4,Active,-0.0936,68.2,0,7,7,False,0.156,0.03,0.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,6.87,Low,Lương thấp hơn P50 thị trường 9.4%,Điểm KPI 68.2/100,Đổi vai gần đây (7 tháng trước),Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 7 tháng)
20,E000002,2021-03-01,01CN000010,Band 4,Active,-0.0936,64.8,0,8,8,False,0.156,0.0867,0.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,8.29,Low,Lương thấp hơn P50 thị trường 9.4%,Điểm KPI 64.8/100,Đổi vai gần đây (8 tháng trước),Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 8 tháng)
21,E000002,2021-04-01,01CN000010,Band 4,Active,-0.0936,73.6,0,9,9,False,0.156,0.0,0.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,6.12,Low,Lương thấp hơn P50 thị trường 9.4%,Điểm KPI 73.6/100,Đổi vai gần đây (9 tháng trước),Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 9 tháng)
22,E000002,2021-05-01,01CN000010,Band 4,Active,-0.0936,70.2,0,10,10,False,0.156,0.0,0.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,6.12,Low,Lương thấp hơn P50 thị trường 9.4%,Điểm KPI 70.2/100,Đổi vai gần đây (10 tháng trước),Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 10 tháng)
23,E000002,2021-06-01,01CN000010,Band 4,Active,-0.0936,67.6,0,11,11,True,0.156,0.04,0.0,0.0,1.0,0.2,0.25,0.25,0.2,0.1,,0,False,,14.12,Low,Lương thấp hơn P50 thị trường 9.4%,Điểm KPI 67.6/100,Đổi vai gần đây (11 tháng trước),Không bị đóng băng lương,"Đang trong cửa sổ rủi ro thâm niên (12M_ANNIVERSARY, 11 tháng)"
24,E000002,2021-07-01,01CN000010,Band 4,Active,-0.0876,64.4,0,12,12,True,0.146,0.0933,0.0,0.0,1.0,0.2,0.25,0.25,0.2,0.1,,0,False,,15.25,Low,Lương thấp hơn P50 thị trường 8.8%,Điểm KPI 64.4/100,Đổi vai gần đây (12 tháng trước),Không bị đóng băng lương,"Đang trong cửa sổ rủi ro thâm niên (12M_ANNIVERSARY, 12 tháng)"
25,E000002,2021-08-01,01CN000010,Band 4,Active,-0.0876,68.3,0,13,13,True,0.146,0.0283,0.0,0.0,1.0,0.2,0.25,0.25,0.2,0.1,,0,False,,13.63,Low,Lương thấp hơn P50 thị trường 8.8%,Điểm KPI 68.3/100,Đổi vai gần đây (13 tháng trước),Không bị đóng băng lương,"Đang trong cửa sổ rủi ro thâm niên (12M_ANNIVERSARY, 13 tháng)"
26,E000002,2021-09-01,01CN000010,Band 4,Active,-0.0876,64.2,0,14,14,False,0.146,0.0967,0.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,8.34,Low,Lương thấp hơn P50 thị trường 8.8%,Điểm KPI 64.2/100,Đổi vai gần đây (14 tháng trước),Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 14 tháng)
27,E000002,2021-10-01,01CN000010,Band 4,Active,-0.0876,64.9,0,15,15,False,0.146,0.085,0.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,8.04,Low,Lương thấp hơn P50 thị trường 8.8%,Điểm KPI 64.9/100,Đổi vai gần đây (15 tháng trước),Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 15 tháng)
28,E000002,2021-11-01,01CN000010,Band 4,Active,-0.0876,62.1,0,16,16,False,0.146,0.1317,0.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,9.21,Low,Lương thấp hơn P50 thị trường 8.8%,Điểm KPI 62.1/100,Đổi vai gần đây (16 tháng trước),Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 16 tháng)
29,E000002,2021-12-01,01CN000010,Band 4,Active,-0.0876,55.4,0,17,17,True,0.146,0.2433,0.0,0.0,1.0,0.2,0.25,0.25,0.2,0.1,,0,False,,19.0,Low,Lương thấp hơn P50 thị trường 8.8%,Điểm KPI 55.4/100,Đổi vai gần đây (17 tháng trước),Không bị đóng băng lương,"Đang trong cửa sổ rủi ro thâm niên (18M_ANNIVERSARY, 17 tháng)"
30,E000002,2022-01-01,01CN000010,Band 4,Active,-0.1473,72.9,0,18,18,True,0.2455,0.0,0.0,0.0,1.0,0.2,0.25,0.25,0.2,0.1,,0,False,,14.91,Low,Lương thấp hơn P50 thị trường 14.7%,Điểm KPI 72.9/100,Đổi vai gần đây (18 tháng trước),Không bị đóng băng lương,"Đang trong cửa sổ rủi ro thâm niên (18M_ANNIVERSARY, 18 tháng)"
31,E000002,2022-02-01,01CN000010,Band 4,Active,-0.1473,56.6,0,19,19,True,0.2455,0.2233,0.0,0.0,1.0,0.2,0.25,0.25,0.2,0.1,,0,False,,20.49,Low,Lương thấp hơn P50 thị trường 14.7%,Điểm KPI 56.6/100,Đổi vai gần đây (19 tháng trước),Không bị đóng băng lương,"Đang trong cửa sổ rủi ro thâm niên (18M_ANNIVERSARY, 19 tháng)"
32,E000002,2022-03-01,01CN000010,Band 4,Active,-0.1473,67.0,0,20,20,False,0.2455,0.05,0.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,9.16,Low,Lương thấp hơn P50 thị trường 14.7%,Điểm KPI 67.0/100,Đổi vai gần đây (20 tháng trước),Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 20 tháng)
33,E000002,2022-04-01,01CN000010,Band 4,Active,-0.1473,62.2,0,21,21,False,0.2455,0.13,0.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,11.16,Low,Lương thấp hơn P50 thị trường 14.7%,Điểm KPI 62.2/100,Đổi vai gần đây (21 tháng trước),Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 21 tháng)
34,E000002,2022-05-01,01CN000010,Band 4,Active,-0.1473,59.2,0,22,22,False,0.2455,0.18,0.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,12.41,Low,Lương thấp hơn P50 thị trường 14.7%,Điểm KPI 59.2/100,Đổi vai gần đây (22 tháng trước),Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 22 tháng)
35,E000002,2022-06-01,01CN000010,Band 4,Active,-0.1473,61.2,0,23,23,False,0.2455,0.1467,0.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,11.58,Low,Lương thấp hơn P50 thị trường 14.7%,Điểm KPI 61.2/100,Đổi vai gần đây (23 tháng trước),Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 23 tháng)
36,E000002,2022-07-01,01CN000010,Band 4,Active,-0.1105,64.8,0,24,24,False,0.1842,0.0867,0.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,8.85,Low,Lương thấp hơn P50 thị trường 11.1%,Điểm KPI 64.8/100,Đổi vai gần đây (24 tháng trước),Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 24 tháng)
37,E000002,2022-08-01,01CN000010,Band 4,Active,-0.1105,66.0,0,25,25,False,0.1842,0.0667,0.0278,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,9.04,Low,Lương thấp hơn P50 thị trường 11.1%,Điểm KPI 66.0/100,Lần đổi vai gần nhất cách đây 25 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 25 tháng)
38,E000002,2022-09-01,01CN000010,Band 4,Active,-0.1105,67.8,0,26,26,False,0.1842,0.0367,0.0556,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,8.99,Low,Lương thấp hơn P50 thị trường 11.1%,Điểm KPI 67.8/100,Lần đổi vai gần nhất cách đây 26 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 26 tháng)
39,E000002,2022-10-01,01CN000010,Band 4,Active,-0.1105,67.7,0,27,27,False,0.1842,0.0383,0.0833,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,9.72,Low,Lương thấp hơn P50 thị trường 11.1%,Điểm KPI 67.7/100,Lần đổi vai gần nhất cách đây 27 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 27 tháng)
40,E000002,2022-11-01,01CN000010,Band 4,Active,-0.1105,78.6,0,28,28,False,0.1842,0.0,0.1111,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,9.46,Low,Lương thấp hơn P50 thị trường 11.1%,Điểm KPI 78.6/100,Lần đổi vai gần nhất cách đây 28 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 28 tháng)
41,E000002,2022-12-01,01CN000010,Band 4,Active,-0.1105,68.4,0,29,29,False,0.1842,0.0267,0.1389,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,10.82,Low,Lương thấp hơn P50 thị trường 11.1%,Điểm KPI 68.4/100,Lần đổi vai gần nhất cách đây 29 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 29 tháng)
42,E000002,2023-01-01,01CN000010,Band 4,Active,-0.1687,59.0,0,30,30,False,0.2812,0.1833,0.1667,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,17.37,Low,Lương thấp hơn P50 thị trường 16.9%,Điểm KPI 59.0/100,Lần đổi vai gần nhất cách đây 30 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 30 tháng)
43,E000002,2023-02-01,01CN000010,Band 4,Active,-0.1687,67.2,0,31,31,False,0.2812,0.0467,0.1944,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,14.65,Low,Lương thấp hơn P50 thị trường 16.9%,Điểm KPI 67.2/100,Lần đổi vai gần nhất cách đây 31 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 31 tháng)
44,E000002,2023-03-01,01CN000010,Band 4,Active,-0.1687,81.5,0,32,32,False,0.2812,0.0,0.2222,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,14.18,Low,Lương thấp hơn P50 thị trường 16.9%,Điểm KPI 81.5/100,Lần đổi vai gần nhất cách đây 32 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 32 tháng)
45,E000002,2023-04-01,01CN000010,Band 4,Active,-0.1687,75.8,0,33,33,False,0.2812,0.0,0.25,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,14.87,Low,Lương thấp hơn P50 thị trường 16.9%,Điểm KPI 75.8/100,Lần đổi vai gần nhất cách đây 33 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 33 tháng)
46,E000002,2023-05-01,01CN000010,Band 4,Active,-0.1687,60.8,0,34,0,False,0.2812,0.1533,0.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,12.46,Low,Lương thấp hơn P50 thị trường 16.9%,Điểm KPI 60.8/100,Đổi vai gần đây (0 tháng trước),Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 34 tháng)
47,E000002,2023-06-01,01CN000010,Band 4,Active,-0.1687,62.7,0,35,1,False,0.2812,0.1217,0.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,11.66,Low,Lương thấp hơn P50 thị trường 16.9%,Điểm KPI 62.7/100,Đổi vai gần đây (1 tháng trước),Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 35 tháng)
48,E000002,2023-07-01,01CN000010,Band 4,Active,-0.1122,66.1,0,36,2,False,0.187,0.065,0.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,8.37,Low,Lương thấp hơn P50 thị trường 11.2%,Điểm KPI 66.1/100,Đổi vai gần đây (2 tháng trước),Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 36 tháng)
49,E000002,2023-08-01,01CN000010,Band 4,Active,-0.1122,68.0,0,37,3,False,0.187,0.0333,0.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,7.57,Low,Lương thấp hơn P50 thị trường 11.2%,Điểm KPI 68.0/100,Đổi vai gần đây (3 tháng trước),Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 37 tháng)
50,E000002,2023-09-01,01CN000010,Band 4,Active,-0.1122,75.5,0,38,4,False,0.187,0.0,0.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,6.74,Low,Lương thấp hơn P50 thị trường 11.2%,Điểm KPI 75.5/100,Đổi vai gần đây (4 tháng trước),Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 38 tháng)
51,E000002,2023-10-01,01CN000010,Band 4,Active,-0.1122,74.5,0,39,5,False,0.187,0.0,0.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,6.74,Low,Lương thấp hơn P50 thị trường 11.2%,Điểm KPI 74.5/100,Đổi vai gần đây (5 tháng trước),Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 39 tháng)
52,E000002,2023-11-01,01CN000010,Band 4,Active,-0.1122,71.7,0,40,6,False,0.187,0.0,0.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,6.74,Low,Lương thấp hơn P50 thị trường 11.2%,Điểm KPI 71.7/100,Đổi vai gần đây (6 tháng trước),Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 40 tháng)
53,E000002,2023-12-01,01CN000010,Band 4,Active,-0.1122,72.5,0,41,7,False,0.187,0.0,0.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,6.74,Low,Lương thấp hơn P50 thị trường 11.2%,Điểm KPI 72.5/100,Đổi vai gần đây (7 tháng trước),Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 41 tháng)
54,E000002,2024-01-01,01CN000010,Band 4,Active,-0.1703,63.9,0,42,8,False,0.2838,0.1017,0.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,11.22,Low,Lương thấp hơn P50 thị trường 17.0%,Điểm KPI 63.9/100,Đổi vai gần đây (8 tháng trước),Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 42 tháng)
55,E000002,2024-02-01,01CN000010,Band 4,Active,-0.1703,65.2,0,43,9,False,0.2838,0.08,0.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,10.68,Low,Lương thấp hơn P50 thị trường 17.0%,Điểm KPI 65.2/100,Đổi vai gần đây (9 tháng trước),Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 43 tháng)
56,E000002,2024-03-01,01CN000010,Band 4,Active,-0.1703,74.1,0,44,10,False,0.2838,0.0,0.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,8.68,Low,Lương thấp hơn P50 thị trường 17.0%,Điểm KPI 74.1/100,Đổi vai gần đây (10 tháng trước),Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 44 tháng)
57,E000002,2024-04-01,01CN000010,Band 4,Active,-0.1703,77.5,0,45,0,False,0.2838,0.0,0.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,8.68,Low,Lương thấp hơn P50 thị trường 17.0%,Điểm KPI 77.5/100,Đổi vai gần đây (0 tháng trước),Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 45 tháng)
58,E000002,2024-05-01,01CN000010,Band 4,Active,-0.1703,66.2,0,46,1,False,0.2838,0.0633,0.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,10.26,Low,Lương thấp hơn P50 thị trường 17.0%,Điểm KPI 66.2/100,Đổi vai gần đây (1 tháng trước),Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 46 tháng)
59,E000002,2024-06-01,01CN000010,Band 4,Active,-0.1703,69.5,0,47,2,False,0.2838,0.0083,0.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,8.89,Low,Lương thấp hơn P50 thị trường 17.0%,Điểm KPI 69.5/100,Đổi vai gần đây (2 tháng trước),Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 47 tháng)
60,E000002,2024-07-01,01CN000010,Band 4,Active,-0.1505,68.8,0,48,0,False,0.2508,0.02,0.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,8.52,Low,Lương thấp hơn P50 thị trường 15.0%,Điểm KPI 68.8/100,Đổi vai gần đây (0 tháng trước),Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 48 tháng)
61,E000002,2024-08-01,01CN000010,Band 4,Active,-0.1505,67.6,0,49,1,False,0.2508,0.04,0.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,9.02,Low,Lương thấp hơn P50 thị trường 15.0%,Điểm KPI 67.6/100,Đổi vai gần đây (1 tháng trước),Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 49 tháng)
62,E000002,2024-09-01,01CN000010,Band 4,Active,-0.1505,84.1,0,50,2,False,0.2508,0.0,0.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,8.02,Low,Lương thấp hơn P50 thị trường 15.0%,Điểm KPI 84.1/100,Đổi vai gần đây (2 tháng trước),Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 50 tháng)
63,E000002,2024-10-01,01CN000010,Band 4,Active,-0.1505,70.9,0,51,3,False,0.2508,0.0,0.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,8.02,Low,Lương thấp hơn P50 thị trường 15.0%,Điểm KPI 70.9/100,Đổi vai gần đây (3 tháng trước),Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 51 tháng)
64,E000002,2024-11-01,01CN000010,Band 4,Active,-0.1505,74.6,0,52,4,False,0.2508,0.0,0.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,8.02,Low,Lương thấp hơn P50 thị trường 15.0%,Điểm KPI 74.6/100,Đổi vai gần đây (4 tháng trước),Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 52 tháng)
65,E000002,2024-12-01,01CN000010,Band 4,Active,-0.1505,71.8,0,53,5,False,0.2508,0.0,0.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,8.02,Low,Lương thấp hơn P50 thị trường 15.0%,Điểm KPI 71.8/100,Đổi vai gần đây (5 tháng trước),Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 53 tháng)
66,E000002,2025-01-01,01CN000010,Band 4,Active,-0.2061,71.2,0,54,6,False,0.3435,0.0,0.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,9.87,Low,Lương thấp hơn P50 thị trường 20.6%,Điểm KPI 71.2/100,Đổi vai gần đây (6 tháng trước),Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 54 tháng)
