salary_snapshot_key,employee_id,snapshot_date,dept_code,band,base_salary,currency_code,market_p50,salary_gap_to_p50_pct,compa_ratio,is_pay_frozen,pay_freeze_months
81,E000003,2021-04-01,01CN000001,Band 5,28780565,VND,32000000,-0.1006,0.8994,False,0
82,E000003,2021-05-01,01CN000001,Band 5,28780565,VND,32000000,-0.1006,0.8994,False,0
83,E000003,2021-06-01,01CN000001,Band 5,28780565,VND,32000000,-0.1006,0.8994,False,0
84,E000003,2021-07-01,01CN000001,Band 5,28780565,VND,32000000,-0.1006,0.8994,False,0
85,E000003,2021-08-01,01CN000001,Band 5,28780565,VND,32000000,-0.1006,0.8994,False,0
86,E000003,2021-09-01,01CN000001,Band 5,28780565,VND,32000000,-0.1006,0.8994,False,0
87,E000003,2021-10-01,01CN000001,Band 5,28780565,VND,32000000,-0.1006,0.8994,False,0
88,E000003,2021-11-01,01CN000001,Band 5,30160507,VND,32000000,-0.0575,0.9425,False,0
89,E000003,2021-12-01,01CN000001,Band 5,30160507,VND,32000000,-0.0575,0.9425,False,0
90,E000003,2022-01-01,01CN000001,Band 5,30160507,VND,34240000,-0.1191,0.8809,False,0
91,E000003,2022-02-01,01CN000001,Band 5,30160507,VND,34240000,-0.1191,0.8809,False,0
92,E000003,2022-03-01,01CN000001,Band 5,30160507,VND,34240000,-0.1191,0.8809,False,0
93,E000003,2022-04-01,01CN000001,Band 5,30160507,VND,34240000,-0.1191,0.8809,False,0
94,E000003,2022-05-01,01CN000001,Band 5,30160507,VND,34240000,-0.1191,0.8809,False,0
95,E000004,2021-01-01,01CN000037,Band 4,28280236,VND,24000000,0.1783,1.1783,False,0
96,E000004,2021-02-01,01CN000037,Band 4,28280236,VND,24000000,0.1783,1.1783,False,0
97,E000004,2021-03-01,01CN000037,Band 4,28280236,VND,24000000,0.1783,1.1783,False,0
98,E000004,2021-04-01,01CN000037,Band 4,28280236,VND,24000000,0.1783,1.1783,False,0
99,E000004,2021-05-01,01CN000037,Band 4,28280236,VND,24000000,0.1783,1.1783,False,0
100,E000004,2021-06-01,01CN000037,Band 4,28280236,VND,24000000,0.1783,1.1783,False,0
101,E000004,2021-07-01,01CN000037,Band 4,28280236,VND,24000000,0.1783,1.1783,False,0
102,E000004,2021-08-01,01CN000037,Band 4,28280236,VND,24000000,0.1783,1.1783,False,0
103,E000005,2021-01-01,01QT000010,Band 6,42762401,VND,45000000,-0.0497,0.9503,False,0
104,E000005,2021-02-01,01QT000010,Band 6,42762401,VND,45000000,-0.0497,0.9503,False,0
105,E000005,2021-03-01,01QT000010,Band 6,42762401,VND,45000000,-0.0497,0.9503,False,0
106,E000005,2021-04-01,01QT000010,Band 6,42762401,VND,45000000,-0.0497,0.9503,False,0
107,E000005,2021-05-01,01QT000010,Band 6,42762401,VND,45000000,-0.0497,0.9503,False,0
108,E000005,2021-06-01,01QT000010,Band 6,42762401,VND,45000000,-0.0497,0.9503,False,0
109,E000005,2021-07-01,01QT000010,Band 6,42762401,VND,45000000,-0.0497,0.9503,False,0
110,E000005,2021-08-01,01QT000010,Band 6,42762401,VND,45000000,-0.0497,0.9503,False,0
111,E000005,2021-09-01,01QT000010,Band 6,44910788,VND,45000000,-0.002,0.998,False,0
112,E000005,2021-10-01,01QT000010,Band 6,44910788,VND,45000000,-0.002,0.998,False,0
113,E000005,2021-11-01,01QT000010,Band 6,44910788,VND,45000000,-0.002,0.998,False,0
114,E000005,2021-12-01,01QT000010,Band 6,44910788,VND,45000000,-0.002,0.998,False,0
115,E000005,2022-01-01,01QT000010,Band 6,44910788,VND,48150000,-0.0673,0.9327,False,0
116,E000005,2022-02-01,01QT000010,Band 6,44910788,VND,48150000,-0.0673,0.9327,False,0
117,E000005,2022-03-01,01QT000010,Band 6,44910788,VND,48150000,-0.0673,0.9327,False,0
118,E000005,2022-04-01,01QT000010,Band 6,44910788,VND,48150000,-0.0673,0.9327,False,0
119,E000005,2022-05-01,01QT000010,Band 6,44910788,VND,48150000,-0.0673,0.9327,False,0
120,E000005,2022-06-01,01QT000010,Band 6,44910788,VND,48150000,-0.0673,0.9327,False,0
121,E000005,2022-07-01,01QT000010,Band 6,44910788,VND,48150000,-0.0673,0.9327,False,0
122,E000005,2022-08-01,01QT000010,Band 6,44910788,VND,48150000,-0.0673,0.9327,False,0
123,E000005,2022-09-01,01QT000010,Band 6,46990581,VND,48150000,-0.0241,0.9759,False,0
124,E000005,2022-10-01,01QT000010,Band 6,46990581,VND,48150000,-0.0241,0.9759,False,0
125,E000005,2022-11-01,01QT000010,Band 6,46990581,VND,48150000,-0.0241,0.9759,False,0
126,E000005,2022-12-01,01QT000010,Band 6,46990581,VND,48150000,-0.0241,0.9759,False,0
127,E000005,2023-01-01,01QT000010,Band 6,46990581,VND,51520000,-0.0879,0.9121,False,0
128,E000005,2023-02-01,01QT000010,Band 6,46990581,VND,51520000,-0.0879,0.9121,False,0
129,E000005,2023-03-01,01QT000010,Band 6,46990581,VND,51520000,-0.0879,0.9121,False,0
130,E000005,2023-04-01,01QT000010,Band 6,46990581,VND,51520000,-0.0879,0.9121,False,0
131,E000005,2023-05-01,01QT000010,Band 6,46990581,VND,51520000,-0.0879,0.9121,False,0
132,E000005,2023-06-01,01QT000010,Band 6,46990581,VND,51520000,-0.0879,0.9121,False,0
133,E000005,2023-07-01,01QT000010,Band 6,46990581,VND,51520000,-0.0879,0.9121,False,0
134,E000005,2023-08-01,01QT000010,Band 6,46990581,VND,51520000,-0.0879,0.9121,False,0
135,E000005,2023-09-01,01QT000010,Band 6,46990581,VND,51520000,-0.0879,0.9121,False,0
136,E000005,2023-10-01,01QT000010,Band 6,46990581,VND,51520000,-0.0879,0.9121,False,0
137,E000005,2023-11-01,01QT000010,Band 6,46990581,VND,51520000,-0.0879,0.9121,False,0
138,E000005,2023-12-01,01QT000010,Band 6,46990581,VND,51520000,-0.0879,0.9121,False,0
139,E000005,2024-01-01,01QT000010,Band 6,46990581,VND,55127000,-0.1476,0.8524,False,0
140,E000005,2024-02-01,01QT000010,Band 6,46990581,VND,55127000,-0.1476,0.8524,False,0
141,E000005,2024-03-01,01QT000010,Band 6,46990581,VND,55127000,-0.1476,0.8524,False,0
142,E000005,2024-04-01,01QT000010,Band 6,46990581,VND,55127000,-0.1476,0.8524,False,0
143,E000005,2024-05-01,01QT000010,Band 6,46990581,VND,55127000,-0.1476,0.8524,False,0
144,E000005,2024-06-01,01QT000010,Band 6,46990581,VND,55127000,-0.1476,0.8524,False,0
145,E000005,2024-07-01,01QT000010,Band 6,46990581,VND,55127000,-0.1476,0.8524,False,0
146,E000005,2024-08-01,01QT000010,Band 6,46990581,VND,55127000,-0.1476,0.8524,False,0
147,E000005,2024-09-01,01QT000010,Band 6,50449251,VND,55127000,-0.0849,0.9151,False,0
148,E000005,2024-10-01,01QT000010,Band 6,50449251,VND,55127000,-0.0849,0.9151,False,0
149,E000005,2024-11-01,01QT000010,Band 6,50449251,VND,55127000,-0.0849,0.9151,False,0
150,E000005,2024-12-01,01QT000010,Band 6,50449251,VND,55127000,-0.0849,0.9151,False,0
151,E000005,2025-01-01,01QT000010,Band 6,50449251,VND,58986000,-0.1447,0.8553,False,0
152,E000005,2025-02-01,01QT000010,Band 6,50449251,VND,58986000,-0.1447,0.8553,False,0
153,E000005,2025-03-01,01QT000010,Band 6,50449251,VND,58986000,-0.1447,0.8553,False,0
154,E000005,2025-04-01,01QT000010,Band 6,50449251,VND,58986000,-0.1447,0.8553,False,0
155,E000005,2025-05-01,01QT000010,Band 6,50449251,VND,58986000,-0.1447,0.8553,False,0
156,E000005,2025-06-01,01QT000010,Band 6,50449251,VND,58986000,-0.1447,0.8553,False,0
157,E000005,2025-07-01,01QT000010,Band 6,50449251,VND,58986000,-0.1447,0.8553,False,0
158,E000005,2025-08-01,01QT000010,Band 6,50449251,VND,58986000,-0.1447,0.8553,False,0
159,E000005,2025-09-01,01QT000010,Band 6,53537293,VND,58986000,-0.0924,0.9076,False,0
160,E000005,2025-10-01,01QT000010,Band 6,53537293,VND,58986000,-0.0924,0.9076,False,0
161,E000005,2025-11-01,01QT000010,Band 6,53537293,VND,58986000,-0.0924,0.9076,False,0
162,E000005,2025-12-01,01QT000010,Band 6,53537293,VND,58986000,-0.0924,0.9076,False,0
163,E000006,2021-01-01,01QT000022,Band 4,27321686,VND,24000000,0.1384,1.1384,False,0
164,E000006,2021-02-01,01QT000022,Band 4,27321686,VND,24000000,0.1384,1.1384,False,0
165,E000006,2021-03-01,01QT000022,Band 4,27321686,VND,24000000,0.1384,1.1384,False,0
166,E000006,2021-04-01,01QT000022,Band 4,29467823,VND,24000000,0.2278,1.2278,False,0
167,E000006,2021-05-01,01QT000022,Band 4,29467823,VND,24000000,0.2278,1.2278,False,0
168,E000006,2021-06-01,01QT000022,Band 4,29467823,VND,24000000,0.2278,1.2278,False,0
169,E000006,2021-07-01,01QT000022,Band 4,29467823,VND,24000000,0.2278,1.2278,False,0
170,E000006,2021-08-01,01QT000022,Band 4,29467823,VND,24000000,0.2278,1.2278,False,0
171,E000006,2021-09-01,01QT000022,Band 4,29467823,VND,24000000,0.2278,1.2278,False,0
172,E000006,2021-10-01,01QT000022,Band 4,29467823,VND,24000000,0.2278,1.2278,False,0
173,E000006,2021-11-01,01QT000022,Band 4,29467823,VND,24000000,0.2278,1.2278,False,0
174,E000006,2021-12-01,01QT000022,Band 4,29467823,VND,24000000,0.2278,1.2278,False,0
175,E000006,2022-01-01,01QT000022,Band 4,29467823,VND,25680000,0.1475,1.1475,False,0
176,E000006,2022-02-01,01QT000022,Band 4,29467823,VND,25680000,0.1475,1.1475,False,0
177,E000006,2022-03-01,01QT000022,Band 4,29467823,VND,25680000,0.1475,1.1475,False,0
178,E000006,2022-04-01,01QT000022,Band 4,32365659,VND,25680000,0.2603,1.2603,False,0
179,E000006,2022-05-01,01QT000022,Band 4,32365659,VND,25680000,0.2603,1.2603,False,0
180,E000006,2022-06-01,01QT000022,Band 4,32365659,VND,25680000,0.2603,1.2603,False,0
181,E000006,2022-07-01,01QT000022,Band 4,32365659,VND,25680000,0.2603,1.2603,False,0
182,E000006,2022-08-01,01QT000022,Band 4,32365659,VND,25680000,0.2603,1.2603,False,0
183,E000006,2022-09-01,01QT000022,Band 4,32365659,VND,25680000,0.2603,1.2603,False,0
184,E000006,2022-10-01,01QT000022,Band 4,32365659,VND,25680000,0.2603,1.2603,False,0
185,E000006,2022-11-01,01QT000022,Band 4,32365659,VND,25680000,0.2603,1.2603,False,0
186,E000006,2022-12-01,01QT000022,Band 4,32365659,VND,25680000,0.2603,1.2603,False,0
187,E000006,2023-01-01,01QT000022,Band 4,32365659,VND,27478000,0.1779,1.1779,False,0
188,E000006,2023-02-01,01QT000022,Band 4,32365659,VND,27478000,0.1779,1.1779,False,0
189,E000006,2023-03-01,01QT000022,Band 4,32365659,VND,27478000,0.1779,1.1779,False,0
190,E000006,2023-04-01,01QT000022,Band 4,33612424,VND,27478000,0.2232,1.2232,False,0
191,E000006,2023-05-01,01QT000022,Band 4,33612424,VND,27478000,0.2232,1.2232,False,0
192,E000006,2023-06-01,01QT000022,Band 4,33612424,VND,27478000,0.2232,1.2232,False,0
193,E000006,2023-07-01,01QT000022,Band 4,33612424,VND,27478000,0.2232,1.2232,False,0
194,E000006,2023-08-01,01QT000022,Band 4,33612424,VND,27478000,0.2232,1.2232,False,0
195,E000006,2023-09-01,01QT000022,Band 4,33612424,VND,27478000,0.2232,1.2232,False,0
196,E000006,2023-10-01,01QT000022,Band 4,33612424,VND,27478000,0.2232,1.2232,False,0
197,E000006,2023-11-01,01QT000022,Band 4,33612424,VND,27478000,0.2232,1.2232,False,0
198,E000006,2023-12-01,01QT000022,Band 4,33612424,VND,27478000,0.2232,1.2232,False,0
199,E000006,2024-01-01,01QT000022,Band 4,33612424,VND,29401000,0.1432,1.1432,False,0
200,E000006,2024-02-01,01QT000022,Band 4,33612424,VND,29401000,0.1432,1.1432,False,0
201,E000006,2024-03-01,01QT000022,Band 4,33612424,VND,29401000,0.1432,1.1432,False,0
202,E000006,2024-04-01,01QT000022,Band 4,34769928,VND,29401000,0.1826,1.1826,False,0
203,E000006,2024-05-01,01QT000022,Band 4,34769928,VND,29401000,0.1826,1.1826,False,0
204,E000006,2024-06-01,01QT000022,Band 4,34769928,VND,29401000,0.1826,1.1826,False,0
205,E000006,2024-07-01,01QT000022,Band 4,34769928,VND,29401000,0.1826,1.1826,False,0
206,E000006,2024-08-01,01QT000022,Band 4,34769928,VND,29401000,0.1826,1.1826,False,0
207,E000006,2024-09-01,01QT000022,Band 4,34769928,VND,29401000,0.1826,1.1826,False,0
208,E000006,2024-10-01,01QT000022,Band 4,34769928,VND,29401000,0.1826,1.1826,False,0
209,E000006,2024-11-01,01QT000022,Band 4,34769928,VND,29401000,0.1826,1.1826,False,0
210,E000006,2024-12-01,01QT000022,Band 4,34769928,VND,29401000,0.1826,1.1826,False,0
211,E000006,2025-01-01,01QT000022,Band 4,34769928,VND,31459000,0.1052,1.1052,False,0
212,E000006,2025-02-01,01QT000022,Band 4,34769928,VND,31459000,0.1052,1.1052,False,0
213,E000006,2025-03-01,01QT000022,Band 4,34769928,VND,31459000,0.1052,1.1052,False,0
214,E000006,2025-04-01,01QT000022,Band 4,35571410,VND,31459000,0.1307,1.1307,False,0
215,E000006,2025-05-01,01QT000022,Band 4,35571410,VND,31459000,0.1307,1.1307,False,0
216,E000006,2025-06-01,01QT000022,Band 4,35571410,VND,31459000,0.1307,1.1307,False,0
217,E000006,2025-07-01,01QT000022,Band 4,35571410,VND,31459000,0.1307,1.1307,False,0
218,E000006,2025-08-01,01QT000022,Band 4,35571410,VND,31459000,0.1307,1.1307,False,0
219,E000006,2025-09-01,01QT000022,Band 4,35571410,VND,31459000,0.1307,1.1307,False,0
220,E000006,2025-10-01,01QT000022,Band 4,35571410,VND,31459000,0.1307,1.1307,False,0
221,E000006,2025-11-01,01QT000022,Band 4,35571410,VND,31459000,0.1307,1.1307,False,0
222,E000006,2025-12-01,01QT000022,Band 4,35571410,VND,31459000,0.1307,1.1307,False,0
223,E000007,2021-01-01,01CN000078,Band 4,25142607,VND,24000000,0.0476,1.0476,False,0
224,E000007,2021-02-01,01CN000078,Band 4,25142607,VND,24000000,0.0476,1.0476,False,0
225,E000007,2021-03-01,01CN000078,Band 4,25142607,VND,24000000,0.0476,1.0476,False,0
226,E000007,2021-04-01,01CN000078,Band 4,25142607,VND,24000000,0.0476,1.0476,False,0
227,E000007,2021-05-01,01CN000078,Band 4,25142607,VND,24000000,0.0476,1.0476,False,0
228,E000007,2021-06-01,01CN000078,Band 4,25142607,VND,24000000,0.0476,1.0476,False,0
229,E000007,2021-07-01,01CN000078,Band 4,25142607,VND,24000000,0.0476,1.0476,False,0
230,E000007,2021-08-01,01CN000078,Band 4,25142607,VND,24000000,0.0476,1.0476,False,0
231,E000007,2021-09-01,01CN000078,Band 4,26922065,VND,24000000,0.1218,1.1218,False,0
232,E000007,2021-10-01,01CN000078,Band 4,26922065,VND,24000000,0.1218,1.1218,False,0
233,E000007,2021-11-01,01CN000078,Band 4,26922065,VND,24000000,0.1218,1.1218,False,0
234,E000007,2021-12-01,01CN000078,Band 4,26922065,VND,24000000,0.1218,1.1218,False,0
235,E000007,2022-01-01,01CN000078,Band 4,26922065,VND,25680000,0.0484,1.0484,False,0
236,E000007,2022-02-01,01CN000078,Band 4,26922065,VND,25680000,0.0484,1.0484,False,0
237,E000007,2022-03-01,01CN000078,Band 4,26922065,VND,25680000,0.0484,1.0484,False,0
238,E000007,2022-04-01,01CN000078,Band 4,26922065,VND,25680000,0.0484,1.0484,False,0
239,E000007,2022-05-01,01CN000078,Band 4,26922065,VND,25680000,0.0484,1.0484,False,0
240,E000007,2022-06-01,01CN000078,Band 4,26922065,VND,25680000,0.0484,1.0484,False,0
241,E000007,2022-07-01,01CN000078,Band 4,26922065,VND,25680000,0.0484,1.0484,False,0
242,E000007,2022-08-01,01CN000078,Band 4,26922065,VND,25680000,0.0484,1.0484,False,0
243,E000007,2022-09-01,01CN000078,Band 4,28034551,VND,25680000,0.0917,1.0917,False,0
244,E000007,2022-10-01,01CN000078,Band 4,28034551,VND,25680000,0.0917,1.0917,False,0
245,E000007,2022-11-01,01CN000078,Band 4,28034551,VND,25680000,0.0917,1.0917,False,0
246,E000007,2022-12-01,01CN000078,Band 4,28034551,VND,25680000,0.0917,1.0917,False,0
247,E000007,2023-01-01,01CN000078,Band 4,28034551,VND,27478000,0.0203,1.0203,False,0
248,E000007,2023-02-01,01CN000078,Band 4,28034551,VND,27478000,0.0203,1.0203,False,0
249,E000007,2023-03-01,01CN000078,Band 4,28034551,VND,27478000,0.0203,1.0203,False,0
250,E000007,2023-04-01,01CN000078,Band 4,28034551,VND,27478000,0.0203,1.0203,False,0
251,E000007,2023-05-01,01CN000078,Band 4,28034551,VND,27478000,0.0203,1.0203,False,0
252,E000007,2023-06-01,01CN000078,Band 4,28034551,VND,27478000,0.0203,1.0203,False,0
253,E000007,2023-07-01,01CN000078,Band 4,28034551,VND,27478000,0.0203,1.0203,False,0
254,E000007,2023-08-01,01CN000078,Band 4,28034551,VND,27478000,0.0203,1.0203,False,0
255,E000007,2023-09-01,01CN000078,Band 4,29492748,VND,27478000,0.0733,1.0733,False,0
256,E000007,2023-10-01,01CN000078,Band 4,29492748,VND,27478000,0.0733,1.0733,False,0
257,E000007,2023-11-01,01CN000078,Band 4,29492748,VND,27478000,0.0733,1.0733,False,0
258,E000007,2023-12-01,01CN000078,Band 4,29492748,VND,27478000,0.0733,1.0733,False,0
259,E000007,2024-01-01,01CN000078,Band 4,29492748,VND,29401000,0.0031,1.0031,False,0
260,E000007,2024-02-01,01CN000078,Band 4,29492748,VND,29401000,0.0031,1.0031,False,0
261,E000007,2024-03-01,01CN000078,Band 4,29492748,VND,29401000,0.0031,1.0031,False,0
262,E000007,2024-04-01,01CN000078,Band 4,29492748,VND,29401000,0.0031,1.0031,False,0
263,E000007,2024-05-01,01CN000078,Band 4,29492748,VND,29401000,0.0031,1.0031,False,0
264,E000007,2024-06-01,01CN000078,Band 4,29492748,VND,29401000,0.0031,1.0031,False,0
265,E000007,2024-07-01,01CN000078,Band 4,29492748,VND,29401000,0.0031,1.0031,False,0
266,E000007,2024-08-01,01CN000078,Band 4,29492748,VND,29401000,0.0031,1.0031,False,0
267,E000007,2024-09-01,01CN000078,Band 4,31384609,VND,29401000,0.0675,1.0675,False,0
268,E000007,2024-10-01,01CN000078,Band 4,31384609,VND,29401000,0.0675,1.0675,False,0
269,E000007,2024-11-01,01CN000078,Band 4,31384609,VND,29401000,0.0675,1.0675,False,0
270,E000007,2024-12-01,01CN000078,Band 4,31384609,VND,29401000,0.0675,1.0675,False,0
271,E000007,2025-01-01,01CN000078,Band 4,31384609,VND,31459000,-0.0024,0.9976,False,0
272,E000007,2025-02-01,01CN000078,Band 4,31384609,VND,31459000,-0.0024,0.9976,False,0
273,E000007,2025-03-01,01CN000078,Band 4,31384609,VND,31459000,-0.0024,0.9976,False,0
274,E000007,2025-04-01,01CN000078,Band 4,31384609,VND,31459000,-0.0024,0.9976,False,0
275,E000007,2025-05-01,01CN000078,Band 4,31384609,VND,31459000,-0.0024,0.9976,False,0
276,E000007,2025-06-01,01CN000078,Band 4,31384609,VND,31459000,-0.0024,0.9976,False,0
277,E000007,2025-07-01,01CN000078,Band 4,31384609,VND,31459000,-0.0024,0.9976,False,0
278,E000007,2025-08-01,01CN000078,Band 4,31384609,VND,31459000,-0.0024,0.9976,False,0
279,E000007,2025-09-01,01CN000078,Band 4,33834688,VND,31459000,0.0755,1.0755,False,0
