dept_code,dept_name,dept_short_name,parent_dept_code,business_unit,org_level,region,is_active
01QT000018,Khối Quản trị và Hỗ trợ Vận hành,QT,01MK000001,Khối Quản trị và Hỗ trợ Vận hành,,HSC01,1
01QT000004,Trung tâm Hành chính Quản trị Cấp 4,TT HCQT,01QT000018,Khối Quản trị và Hỗ trợ Vận hành,,HSC01,1
01QT000002,Trung tâm Mua sắm và Đấu thầu Miền Nam,TT MSĐT,01QT000004,Khối Quản trị và Hỗ trợ Vận hành,,HSC01,1
01QT000010,Trung tâm Mua sắm và Đấu thầu Khu vực 2,TT MSĐT,01QT000011,Khối Quản trị và Hỗ trợ Vận hành,,HSC01,1
01QT000005,Ban Chiến lược và Kế hoạch Miền Trung,B. CLKH,01QT000011,Khối Quản trị và Hỗ trợ Vận hành,,HSC01,1
01QT000009,Trung tâm Quản lý Rủi ro Vận hành Cấp 4,TT QLRRVH,01QT000011,Khối Quản trị và Hỗ trợ Vận hành,,HSC01,1
01QT000003,Ban Hành chính Quản trị Miền Trung,B. HCQT,01QT000018,Khối Quản trị và Hỗ trợ Vận hành,,HSC01,1
01QT000001,Trung tâm Nhân sự và Đào tạo Cấp 3,TT NSĐT,01QT000018,Khối Quản trị và Hỗ trợ Vận hành,,HSC01,1
01QT000012,Trung tâm Truyền thông Nội bộ Cấp 4,TT TTNB,01QT000001,Khối Quản trị và Hỗ trợ Vận hành,,HSC01,1
01QT000013,Trung tâm Quản lý Rủi ro Vận hành Miền Nam,TT QLRRVH,01QT000001,Khối Quản trị và Hỗ trợ Vận hành,,HSC01,1
01QT000023,Trung tâm Quản lý Văn phòng Miền Trung,TT QLVP,01QT000001,Khối Quản trị và Hỗ trợ Vận hành,,HSC01,1
01QT000011,Trung tâm Nhân sự và Đào tạo Miền Bắc,TT NSĐT,01QT000004,Khối Quản trị và Hỗ trợ Vận hành,,HSC01,1
01QT000008,Phòng Quản lý Ngân sách Miền Bắc,P. QLNS,01QT000004,Khối Quản trị và Hỗ trợ Vận hành,,HSC01,1
01QT000022,Trung tâm Quản lý Văn phòng Cấp 1,TT QLVP,01QT000018,Khối Quản trị và Hỗ trợ Vận hành,,HSC01,1
01QT000007,Phòng Quản lý Tài sản Cấp 3,P. QLTS,01QT000011,Khối Quản trị và Hỗ trợ Vận hành,,HSC01,1
01QT000015,Phòng Pháp chế và Tuân thủ Miền Trung,P. PCTT,01QT000001,Khối Quản trị và Hỗ trợ Vận hành,,HSC01,1
01QT000016,Trung tâm Quản lý Cơ sở Vật chất Cấp 1,TT QLCSVC,01QT000015,Khối Quản trị và Hỗ trợ Vận hành,,HSC01,1
01QT000017,Trung tâm Quản lý Hợp đồng Nội bộ Miền Trung,TT QLHĐNB,01QT000015,Khối Quản trị và Hỗ trợ Vận hành,,HSC01,1
01QT000024,Phòng Kiểm soát Chi phí,P. KSCP,01QT000001,Khối Quản trị và Hỗ trợ Vận hành,,HSC01,1
01QT000006,Trung tâm Kiểm soát Chi phí Khu vực 2,TT KSCP,01QT000018,Khối Quản trị và Hỗ trợ Vận hành,,HSC01,1
