termination_key,employee_id,dept_code,termination_date,last_working_date,termination_type,termination_reason_code,is_regretted_loss,tenure_at_termination_months,band
103,E000278,01CN000079,2023-07-01,2023-07-01,Voluntary,OTHER,False,78,Band 4
104,E000280,01CN000070,2023-01-01,2023-01-01,Voluntary,COMPENSATION,True,47,Band 4
105,E000282,01CN000078,2021-06-01,2021-06-01,Voluntary,OTHER,False,16,K
106,E000284,01CN000033,2024-05-01,2024-05-01,Voluntary,OTHER,False,97,Band 4
107,E000288,01QT000005,2021-11-01,2021-11-01,Voluntary,PERFORMANCE,False,12,Band 3
108,E000295,01CN000020,2022-04-01,2022-04-01,Voluntary,PERSONAL,False,32,Band 3
109,E000296,01CN000062,2021-03-01,2021-03-01,Involuntary,PERFORMANCE,False,145,Band 2
110,E000297,01CN000027,2023-04-01,2023-04-01,Involuntary,COMPENSATION,False,38,Band 3
111,E000299,01CN000061,2021-09-01,2021-09-01,Involuntary,PERFORMANCE,True,12,Band 2
112,E000300,01QT000005,2021-10-01,2021-10-01,Voluntary,OTHER,False,62,Band 5
113,E000302,01CN000040,2021-03-01,2021-03-01,Voluntary,OTHER,True,131,Band 4
114,E000306,01CN000008,2023-11-01,2023-11-01,Involuntary,RELOCATION,True,56,Band 4
115,E000308,01CN000076,2022-01-01,2022-01-01,Voluntary,PERSONAL,True,45,Band 2
116,E000311,01CN000079,2022-02-01,2022-02-01,Involuntary,RELOCATION,True,18,Band 3
117,E000315,01CN000013,2024-01-01,2024-01-01,Involuntary,PERSONAL,False,51,Band 6
118,E000316,01CN000065,2023-05-01,2023-05-01,Involuntary,RELOCATION,True,116,Band 5
119,E000318,01CN000001,2021-04-01,2021-04-01,Voluntary,CAREER_CHANGE,True,30,Band 5
120,E000325,01CN000057,2023-10-01,2023-10-01,Voluntary,PERSONAL,False,39,Band 3
121,E000327,01CN000006,2024-07-01,2024-07-01,Involuntary,RELOCATION,False,66,Band 4
122,E000330,01CN000076,2021-07-01,2021-07-01,Voluntary,PERFORMANCE,False,21,K
123,E000332,01CN000027,2022-10-01,2022-10-01,Voluntary,PERSONAL,False,36,Band 3
124,E000336,01CN000023,2024-10-01,2024-10-01,Voluntary,OTHER,True,82,Band 2
125,E000337,01CN000003,2025-07-01,2025-07-01,Voluntary,RELOCATION,False,143,Band 4
126,E000338,01QT000016,2021-08-01,2021-08-01,Voluntary,PERSONAL,True,25,Band 2
127,E000339,01CN000074,2023-09-01,2023-09-01,Voluntary,COMPENSATION,True,99,Band 2
128,E000343,01CN000033,2022-10-01,2022-10-01,Voluntary,RELOCATION,True,54,Band 2
129,E000344,01QT000018,2022-02-01,2022-02-01,Voluntary,COMPENSATION,False,26,Band 9
130,E000345,01CN000074,2021-04-01,2021-04-01,Voluntary,CAREER_CHANGE,True,50,Band 5
131,E000350,01QT000007,2021-09-01,2021-09-01,Voluntary,CAREER_CHANGE,True,27,Band 2
132,E000351,01CN000020,2023-03-01,2023-03-01,Voluntary,COMPENSATION,True,76,Band 3
133,E000352,01CN000058,2024-11-01,2024-11-01,Voluntary,COMPENSATION,False,63,Band 3
134,E000355,01CN000065,2024-02-01,2024-02-01,Voluntary,OTHER,True,38,Band 2
135,E000357,01CN000072,2025-05-01,2025-05-01,Voluntary,RELOCATION,True,74,Band 4
136,E000358,01CN000027,2021-03-01,2021-03-01,Voluntary,PERSONAL,True,47,Band 2
137,E000359,01CN000057,2022-07-01,2022-07-01,Voluntary,CAREER_CHANGE,False,21,K
138,E000362,01CN000080,2021-09-01,2021-09-01,Involuntary,PERSONAL,False,135,Band 4
139,E000364,01CN000084,2022-02-01,2022-02-01,Voluntary,OTHER,False,29,Band 6
140,E000370,01QT000005,2025-11-01,2025-11-01,Voluntary,CAREER_CHANGE,False,100,Band 5
141,E000372,01QT000023,2022-02-01,2022-02-01,Voluntary,COMPENSATION,False,15,Band 2
142,E000373,01CN000069,2021-03-01,2021-03-01,Voluntary,CAREER_CHANGE,True,22,Band 4
143,E000376,01CN000033,2022-06-01,2022-06-01,Voluntary,RELOCATION,False,38,Band 2
144,E000378,01CN000085,2021-08-01,2021-08-01,Involuntary,OTHER,False,19,Band 3
145,E000379,01CN000069,2022-08-01,2022-08-01,Voluntary,RELOCATION,False,21,Band 3
146,E000380,01CN000027,2021-11-01,2021-11-01,Voluntary,COMPENSATION,False,11,Band 3
147,E000381,01CN000006,2021-08-01,2021-08-01,Voluntary,COMPENSATION,False,18,Band 3
148,E000382,01CN000079,2022-03-01,2022-03-01,Voluntary,PERFORMANCE,True,18,Band 3
149,E000383,01CN000028,2024-10-01,2024-10-01,Voluntary,CAREER_CHANGE,False,57,Band 6
150,E000386,01CN000059,2022-08-01,2022-08-01,Voluntary,COMPENSATION,False,38,Band 3
151,E000387,01CN000074,2022-12-01,2022-12-01,Voluntary,RELOCATION,True,30,Band 3
152,E000389,01CN000022,2021-03-01,2021-03-01,Involuntary,COMPENSATION,True,111,Band 6
153,E000390,01CN000083,2023-01-01,2023-01-01,Involuntary,OTHER,False,102,Band 4
154,E000391,01CN000057,2022-01-01,2022-01-01,Voluntary,CAREER_CHANGE,False,29,Band 4
155,E000393,01CN000040,2023-04-01,2023-04-01,Voluntary,RELOCATION,False,89,Band 3
156,E000394,01CN000027,2025-05-01,2025-05-01,Voluntary,PERFORMANCE,False,75,Band 4
157,E000396,01CN000072,2022-07-01,2022-07-01,Involuntary,PERFORMANCE,False,37,Band 3
158,E000397,01CN000029,2021-10-01,2021-10-01,Involuntary,PERSONAL,True,68,Band 5
159,E000399,01CN000071,2025-07-01,2025-07-01,Voluntary,COMPENSATION,False,132,Band 4
160,E000400,01CN000033,2022-02-01,2022-02-01,Voluntary,COMPENSATION,False,16,Band 4
161,E000402,01CN000086,2021-05-01,2021-05-01,Voluntary,CAREER_CHANGE,False,21,Band 3
162,E000403,01CN000057,2021-08-01,2021-08-01,Voluntary,COMPENSATION,True,91,Band 4
163,E000404,01CN000059,2024-09-01,2024-09-01,Voluntary,PERSONAL,False,47,Band 4
164,E000405,01CN000041,2021-04-01,2021-04-01,Voluntary,PERFORMANCE,False,13,Band 4
165,E000406,01CN000085,2024-01-01,2024-01-01,Voluntary,CAREER_CHANGE,False,69,Band 3
166,E000408,01CN000064,2021-06-01,2021-06-01,Involuntary,COMPENSATION,False,30,Band 4
167,E000409,01CN000010,2025-11-01,2025-11-01,Voluntary,CAREER_CHANGE,True,59,Band 3
168,E000410,01CN000022,2024-11-01,2024-11-01,Voluntary,PERFORMANCE,False,121,Band 4
169,E000411,01CN000085,2022-11-01,2022-11-01,Voluntary,PERSONAL,True,40,Band 3
170,E000413,01CN000013,2025-07-01,2025-07-01,Involuntary,PERSONAL,False,65,Band 4
171,E000418,01CN000042,2023-02-01,2023-02-01,Voluntary,RELOCATION,False,94,Band 6
172,E000419,01CN000069,2024-06-01,2024-06-01,Involuntary,OTHER,True,60,Band 4
173,E000421,01CN000068,2021-08-01,2021-08-01,Voluntary,PERSONAL,False,9,Band 5
174,E000425,01CN000006,2025-06-01,2025-06-01,Voluntary,PERSONAL,False,58,K
175,E000428,01CN000072,2021-12-01,2021-12-01,Voluntary,COMPENSATION,True,25,Band 4
176,E000430,01CN000057,2023-06-01,2023-06-01,Voluntary,COMPENSATION,False,62,Band 5
177,E000431,01CN000003,2021-05-01,2021-05-01,Voluntary,PERFORMANCE,False,24,Band 6
178,E000432,01CN000002,2021-03-01,2021-03-01,Voluntary,PERSONAL,True,35,Band 3
179,E000433,01QT000017,2023-12-01,2023-12-01,Involuntary,PERSONAL,True,40,Band 3
180,E000442,01CN000020,2021-04-01,2021-04-01,Voluntary,RELOCATION,True,26,Band 4
181,E000444,01QT000017,2022-10-01,2022-10-01,Voluntary,OTHER,False,45,Band 5
182,E000445,01CN000037,2021-02-01,2021-02-01,Voluntary,CAREER_CHANGE,False,2,Band 3
183,E000448,01CN000076,2021-05-01,2021-05-01,Voluntary,PERSONAL,False,10,K
184,E000450,01CN000021,2022-04-01,2022-04-01,Voluntary,PERSONAL,False,35,Band 5
185,E000458,01CN000019,2021-04-01,2021-04-01,Voluntary,OTHER,True,27,Band 4
186,E000459,01CN000063,2021-06-01,2021-06-01,Involuntary,PERSONAL,True,40,Band 6
187,E000460,01CN000067,2021-11-01,2021-11-01,Voluntary,RELOCATION,False,20,Band 4
188,E000461,01CN000001,2022-08-01,2022-08-01,Voluntary,COMPENSATION,False,61,Band 4
189,E000462,01CN000038,2024-06-01,2024-06-01,Voluntary,RELOCATION,True,98,Band 4
190,E000463,01CN000034,2025-03-01,2025-03-01,Voluntary,PERSONAL,False,82,Band 3
191,E000464,01CN000073,2022-11-01,2022-11-01,Voluntary,PERFORMANCE,False,41,Band 2
192,E000468,01CN000085,2025-02-01,2025-02-01,Voluntary,CAREER_CHANGE,False,71,K
193,E000470,01CN000061,2025-08-01,2025-08-01,Voluntary,CAREER_CHANGE,False,81,Band 5
194,E000473,01CN000067,2021-11-01,2021-11-01,Voluntary,RELOCATION,False,12,Band 6
195,E000475,01CN000027,2025-08-01,2025-08-01,Voluntary,PERFORMANCE,False,74,Band 4
196,E000476,01QT000008,2022-02-01,2022-02-01,Voluntary,RELOCATION,False,53,Band 2
197,E000477,01QT000008,2023-01-01,2023-01-01,Involuntary,COMPENSATION,True,110,Band 3
198,E000479,01CN000085,2023-11-01,2023-11-01,Voluntary,CAREER_CHANGE,False,36,Band 6
199,E000481,01CN000006,2021-12-01,2021-12-01,Involuntary,COMPENSATION,True,12,Band 3
200,E000483,01QT000002,2024-11-01,2024-11-01,Voluntary,PERSONAL,False,84,K
201,E000484,01CN000038,2022-01-01,2022-01-01,Voluntary,PERSONAL,False,31,Band 5
202,E000487,01CN000085,2023-11-01,2023-11-01,Voluntary,RELOCATION,False,47,Band 3
203,E000488,01CN000009,2024-08-01,2024-08-01,Voluntary,PERFORMANCE,False,67,Band 4
204,E000493,01CN000023,2021-02-01,2021-02-01,Voluntary,CAREER_CHANGE,False,8,Band 3
205,E000494,01CN000070,2021-09-01,2021-09-01,Voluntary,OTHER,False,31,Band 4
206,E000496,01CN000024,2022-03-01,2022-03-01,Voluntary,RELOCATION,False,62,K
207,E000500,01CN000023,2023-07-01,2023-07-01,Voluntary,CAREER_CHANGE,True,31,Band 2
208,E000501,01CN000074,2025-03-01,2025-03-01,Voluntary,CAREER_CHANGE,False,50,K
209,E000502,01CN000001,2021-07-01,2021-07-01,Voluntary,PERFORMANCE,False,6,Band 4
210,E000503,01CN000032,2023-04-01,2023-04-01,Involuntary,COMPENSATION,False,27,Band 5
211,E000504,01QT000018,2021-03-01,2021-03-01,Voluntary,RELOCATION,True,2,Band 3
212,E000505,01CN000067,2021-08-01,2021-08-01,Involuntary,CAREER_CHANGE,False,7,Band 2
213,E000507,01CN000068,2023-10-01,2023-10-01,Voluntary,PERSONAL,False,33,Band 3
214,E000508,01CN000053,2023-07-01,2023-07-01,Voluntary,OTHER,False,30,Band 4
215,E000512,01CN000087,2024-08-01,2024-08-01,Voluntary,COMPENSATION,True,43,Band 3
216,E000514,01CN000041,2023-11-01,2023-11-01,Voluntary,PERFORMANCE,False,34,Band 5
217,E000516,01CN000008,2024-02-01,2024-02-01,Voluntary,PERFORMANCE,False,36,Band 3
218,E000517,01QT000024,2023-02-01,2023-02-01,Voluntary,OTHER,False,24,Band 6
219,E000518,01CN000025,2021-05-01,2021-05-01,Voluntary,RELOCATION,True,3,Band 2
220,E000519,01CN000025,2024-06-01,2024-06-01,Voluntary,COMPENSATION,False,40,Band 8
221,E000520,01QT000002,2022-08-01,2022-08-01,Voluntary,OTHER,True,18,Band 4
222,E000522,01CN000041,2025-01-01,2025-01-01,Voluntary,CAREER_CHANGE,False,47,K
223,E000523,01CN000040,2024-08-01,2024-08-01,Voluntary,RELOCATION,True,42,Band 2
224,E000526,01CN000040,2023-02-01,2023-02-01,Voluntary,OTHER,False,24,Band 4
225,E000527,01CN000070,2022-10-01,2022-10-01,Voluntary,OTHER,True,20,Band 3
226,E000528,01CN000076,2024-01-01,2024-01-01,Voluntary,PERFORMANCE,True,35,K
227,E000529,01CN000048,2023-06-01,2023-06-01,Voluntary,COMPENSATION,False,28,Band 4
228,E000530,01CN000067,2025-02-01,2025-02-01,Involuntary,OTHER,False,48,Band 2
229,E000532,01CN000060,2025-02-01,2025-02-01,Voluntary,PERSONAL,False,47,Band 2
230,E000533,01CN000068,2021-08-01,2021-08-01,Voluntary,OTHER,False,5,Band 5
231,E000534,01CN000020,2024-03-01,2024-03-01,Voluntary,CAREER_CHANGE,False,36,Band 3
232,E000536,01QT000010,2021-05-01,2021-05-01,Voluntary,CAREER_CHANGE,True,2,Band 5
233,E000538,01CN000002,2022-06-01,2022-06-01,Voluntary,PERFORMANCE,False,15,Band 2
234,E000539,01CN000009,2021-06-01,2021-06-01,Involuntary,PERFORMANCE,False,3,Band 6
235,E000542,01CN000057,2023-02-01,2023-02-01,Voluntary,OTHER,True,23,Band 7
236,E000543,01CN000072,2021-06-01,2021-06-01,Voluntary,RELOCATION,False,3,Band 3
237,E000544,01CN000027,2023-03-01,2023-03-01,Voluntary,PERFORMANCE,False,24,Band 3
238,E000545,01CN000019,2023-02-01,2023-02-01,Voluntary,RELOCATION,False,23,Band 4
239,E000546,01CN000023,2021-04-01,2021-04-01,Voluntary,COMPENSATION,False,1,Band 4
240,E000547,01CN000003,2021-05-01,2021-05-01,Voluntary,OTHER,True,1,Band 4
241,E000548,01CN000078,2025-03-01,2025-03-01,Voluntary,COMPENSATION,True,47,Band 4
242,E000551,01CN000017,2021-12-01,2021-12-01,Voluntary,COMPENSATION,False,8,Band 6
243,E000554,01CN000085,2022-01-01,2022-01-01,Involuntary,PERSONAL,False,9,Band 4
244,E000555,01QT000010,2021-05-01,2021-05-01,Voluntary,RELOCATION,True,1,Band 6
245,E000557,01CN000071,2022-04-01,2022-04-01,Voluntary,PERSONAL,False,12,Band 5
246,E000558,01CN000080,2022-04-01,2022-04-01,Voluntary,PERSONAL,False,12,Band 2
247,E000563,01CN000022,2025-05-01,2025-05-01,Voluntary,CAREER_CHANGE,True,48,K
248,E000565,01CN000057,2024-11-01,2024-11-01,Voluntary,OTHER,True,42,Band 4
249,E000566,01CN000074,2022-05-01,2022-05-01,Voluntary,PERFORMANCE,True,12,Band 4
250,E000567,01CN000087,2025-04-01,2025-04-01,Voluntary,COMPENSATION,False,47,Band 6
251,E000568,01CN000032,2022-12-01,2022-12-01,Voluntary,PERSONAL,True,19,Band 5
252,E000569,01CN000057,2025-11-01,2025-11-01,Voluntary,OTHER,True,54,Band 3
253,E000571,01CN000017,2021-10-01,2021-10-01,Voluntary,CAREER_CHANGE,True,5,Band 5
254,E000572,01QT000024,2022-05-01,2022-05-01,Voluntary,COMPENSATION,True,12,Band 3
255,E000573,01CN000041,2023-09-01,2023-09-01,Voluntary,PERFORMANCE,True,28,Band 3
256,E000575,01QT000013,2022-11-01,2022-11-01,Voluntary,PERSONAL,False,18,K
257,E000577,01CN000080,2024-03-01,2024-03-01,Voluntary,COMPENSATION,False,34,Band 2
258,E000578,01CN000003,2022-06-01,2022-06-01,Voluntary,PERSONAL,True,13,Band 4
259,E000579,01CN000053,2024-05-01,2024-05-01,Voluntary,COMPENSATION,False,35,Band 5
260,E000581,01CN000006,2024-03-01,2024-03-01,Voluntary,RELOCATION,False,33,Band 3
261,E000587,01CN000017,2022-04-01,2022-04-01,Involuntary,COMPENSATION,False,10,Band 5
262,E000588,01CN000003,2021-11-01,2021-11-01,Voluntary,OTHER,False,5,Band 4
263,E000589,01CN000070,2022-06-01,2022-06-01,Involuntary,OTHER,True,12,Band 2
264,E000592,01CN000083,2022-12-01,2022-12-01,Voluntary,RELOCATION,False,18,Band 4
265,E000595,01CN000040,2022-07-01,2022-07-01,Voluntary,PERFORMANCE,True,12,Band 6
266,E000596,01CN000041,2024-10-01,2024-10-01,Voluntary,PERFORMANCE,True,39,Band 2
267,E000599,01QT000008,2022-03-01,2022-03-01,Voluntary,COMPENSATION,True,8,Band 4
268,E000600,01CN000003,2024-03-01,2024-03-01,Voluntary,CAREER_CHANGE,True,32,Band 2
269,E000603,01CN000070,2021-11-01,2021-11-01,Voluntary,PERSONAL,True,4,Band 4
270,E000604,01CN000080,2021-09-01,2021-09-01,Voluntary,OTHER,False,2,Band 4
271,E000605,01CN000006,2023-12-01,2023-12-01,Voluntary,PERFORMANCE,False,29,Band 6
272,E000606,01CN000044,2022-12-01,2022-12-01,Voluntary,COMPENSATION,False,17,Band 3
273,E000607,01CN000085,2022-06-01,2022-06-01,Voluntary,RELOCATION,True,11,Band 4
274,E000613,01CN000080,2022-07-01,2022-07-01,Voluntary,RELOCATION,False,11,Band 2
275,E000614,01CN000033,2025-09-01,2025-09-01,Voluntary,PERFORMANCE,False,49,K
276,E000616,01CN000025,2024-03-01,2024-03-01,Voluntary,PERFORMANCE,False,31,Band 8
277,E000617,01CN000078,2025-05-01,2025-05-01,Involuntary,COMPENSATION,True,45,Band 2
278,E000619,01CN000053,2021-12-01,2021-12-01,Voluntary,RELOCATION,True,4,Band 6
279,E000620,01CN000067,2022-07-01,2022-07-01,Voluntary,RELOCATION,False,11,Band 6
280,E000622,01CN000087,2024-01-01,2024-01-01,Voluntary,COMPENSATION,False,29,Band 6
281,E000626,01QT000008,2022-06-01,2022-06-01,Voluntary,PERFORMANCE,True,10,Band 3
282,E000628,01CN000076,2024-09-01,2024-09-01,Voluntary,RELOCATION,False,37,Band 5
283,E000629,01CN000084,2025-02-01,2025-02-01,Voluntary,PERFORMANCE,True,41,Band 4
284,E000630,01CN000022,2021-12-01,2021-12-01,Voluntary,PERFORMANCE,True,3,Band 3
285,E000633,01CN000012,2025-09-01,2025-09-01,Involuntary,OTHER,False,48,Band 3
