position_code,position_name,job_code,dept_code,reports_to_position_code,band,role_type,location_code,is_manager,status,job_group_code
1CN00600,Chuyên gia Ban Khách hàng Chiến lược Khu vực 2,MH033E,01CN000087,1CN00713,Band 5,,HSC01,0,A,BO
1CN00414,Chuyên viên cao cấp Ban Khách hàng Chiến lược Khu vực 2,MH048S,01CN000087,1CN00713,Band 4,,HSC01,0,A,BO
1CN00954,Chuyên viên chính Ban Khách hàng Chiến lược Khu vực 2,MH051S,01CN000087,1CN00713,Band 3,,HSC01,0,A,BO
1CN00057,Chuyên viên Ban Khách hàng Chiến lược Khu vực 2,MH049C,01CN000087,1CN00713,Band 2,,HSC01,0,A,BO
1CN01350,Giám đốc Giải pháp Chuỗi cung ứng,MH038M,01CN000016,1CN00584,Band 6,,HSC01,1,I,BO
1CN00967,Chuyên gia Giải pháp Chuỗi cung ứng,MH034E,01CN000016,1CN01350,Band 5,,HSC01,0,I,BO
1CN00670,Chuyên viên cao cấp Giải pháp Chuỗi cung ứng,MH052S,01CN000016,1CN01350,Band 4,,HSC01,0,I,BO
1CN01278,Chuyên viên chính Giải pháp Chuỗi cung ứng,MH055S,01CN000016,1CN01350,Band 3,,HSC01,0,I,BO
1CN00380,Chuyên viên Giải pháp Chuỗi cung ứng,MH050C,01CN000016,1CN01350,Band 2,,HSC01,0,I,BO
1CN00246,Giám đốc Bán hàng Ngân hàng Giao dịch,MJ004M,01CN000052,1CN00584,Band 6,,HSC02,1,I,BO
1CN01147,Giao phụ trách Giám đốc Bán hàng Ngân hàng Giao dịch Miền Bắc,MJ005M,01CN000052,1CN00246,Band 5,,HSC01,0,I,BO
1CN01056,Giám đốc Bán hàng Ngân hàng Giao dịch Cấp 2 Miền Bắc,KF006T,01CN000052,1CN01147,Band 4,,HSC01,0,I,BO
1CN00598,Giám đốc Bán hàng Ngân hàng Giao dịch Cấp 1 Miền Bắc,KF007T,01CN000052,1CN01147,Band 4,,HSC01,0,I,BO
1CN00097,Chuyên viên chính Bán hàng Ngân hàng Giao dịch,MJ007S,01CN000052,1CN01147,Band 3,,HSC01,0,I,BO
1CN00168,Giám đốc Giải pháp Bán chéo,MH041M,01CN000049,1CN00660,Band 5,,HSC01,1,I,BO
1CN00733,Chuyên gia Giải pháp Bán chéo,MH035E,01CN000049,1CN00168,Band 5,,HSC01,0,I,BO
1CN00661,Chuyên viên cao cấp Giải pháp Bán chéo,MH063S,01CN000049,1CN00168,Band 4,,HSC01,0,I,BO
1CN00260,Chuyên viên chính Giải pháp Bán chéo,MH064S,01CN000049,1CN00168,Band 3,,HSC01,0,I,BO
1CN00712,Chuyên viên Giải pháp Bán chéo,MH065C,01CN000049,1CN00168,Band 2,,HSC01,0,I,BO
1CN01080,Giám đốc Quản lý Kinh doanh,MK086M,01CN000004,1CN00279,Band 6,,HSC01,1,A,BO
1CN00288,Giám đốc Quản lý Kinh doanh,MK086M,01CN000043,1CN01080,Band 5,,HSC01,1,I,BO
1CN00702,Chuyên viên cao cấp Quản lý Kinh doanh,MK057S,01CN000004,1CN01080,Band 4,,HSC01,0,A,BO
1CN00834,Chuyên viên chính Quản lý Kinh doanh,MK058S,01CN000004,1CN01080,Band 3,,HSC01,0,A,BO
1CN01337,Chuyên viên Quản lý Kinh doanh,MK059C,01CN000004,1CN01080,Band 2,,HSC01,0,A,BO
1CN01324,Giám đốc Phòng Tăng trưởng Kinh doanh Miền Bắc,MK087M,01CN000015,1CN01080,Band 5,,HSC01,1,A,BO
1CN01377,Chuyên viên cao cấp Phòng Tăng trưởng Kinh doanh Miền Bắc,MK088S,01CN000015,1CN01324,Band 4,,HSC01,0,A,BO
1CN00706,Chuyên viên chính Phòng Tăng trưởng Kinh doanh Miền Bắc,MK089S,01CN000015,1CN01324,Band 3,,HSC01,0,A,BO
1CN00188,Chuyên viên Phòng Tăng trưởng Kinh doanh Miền Bắc,MK001C,01CN000015,1CN01324,Band 2,,HSC01,0,A,BO
1CN00683,Giám đốc Phòng Kênh Phân phối Đối tác Cấp 3,MJ012M,01CN000058,1CN00328,Band 8,,HSC01,1,A,BO
1CN01229,Giám đốc Kinh doanh Trung tâm Đối tác Kinh doanh Khu vực 2,MJ111M,01CN000005,1CN00683,Band 7,,HSC01,1,A,BO
1CN00488,Giám đốc Kinh doanh Tổ Điều phối Hoạt động Kinh doanh Cấp 2,MJ111M,01CN000081,1CN00683,Band 7,,HSC02,1,A,BO
1CN00901,Giám đốc Siêu Trung tâm Khách hàng Doanh nghiệp Sở Giao dịch,BA016M,01CN000017,1CN01351,Band 7,,HNO01,1,I,BO
1CN01062,Giám đốc Trung tâm Khách hàng Doanh nghiệp Sở Giao dịch,BA013M,01CN000033,1CN01229,Band 6,,HNO01,1,A,HH
1CN00256,Giám đốc Quản lý Quan hệ Khách hàng Doanh nghiệp Sở Giao dịch,MJ011M,01CN000033,1CN01062,Band 5,,HNO01,1,A,TL
1CN00314,Giám đốc Quan hệ Khách hàng Doanh nghiệp Cấp 3 Sở Giao dịch,MJ155E,01CN000017,1CN00901,,,HNO01,0,I,RM
1CN00179,Giám đốc Quan hệ Khách hàng Doanh nghiệp Cấp 2 Sở Giao dịch,M00107,01CN000033,1CN01062,Band 4,,HNO01,0,A,RM
1CN00966,Giám đốc Quan hệ Khách hàng Doanh nghiệp Cấp 1 Sở Giao dịch,M00108,01CN000033,1CN01062,Band 4,,HNO01,0,A,RM
1CN00532,Chuyên viên chính Quan hệ Khách hàng Doanh nghiệp Sở Giao dịch,M00109,01CN000033,1CN01062,Band 3,,HNO01,0,A,RM
1CN01111,Chuyên viên Quan hệ Khách hàng Doanh nghiệp Sở Giao dịch,M00110,01CN000033,1CN01062,Band 2,,HNO01,0,A,RM
1CN00536,Chuyên viên cao cấp Hỗ trợ Quan hệ Khách hàng Doanh nghiệp Sở Giao dịch,MK014S,01CN000017,1CN00901,,,HNO01,0,I,ARM
1CN00076,Chuyên viên chính Hỗ trợ Quan hệ Khách hàng Doanh nghiệp Sở Giao dịch,MK015S,01CN000033,1CN01062,Band 3,,HNO01,0,A,ARM
1CN00543,Chuyên viên Hỗ trợ Quan hệ Khách hàng Doanh nghiệp Sở Giao dịch,MK061C,01CN000033,1CN01062,Band 2,,HNO01,0,A,ARM
1CN01273,Giám đốc Kênh bán thay thế,MJ065M,01CN000026,1CN00683,Band 5,,HNO20,1,I,BO
1CN00469,Chuyên viên cao cấp Kênh bán thay thế,MJ065S,01CN000026,1CN00227,Band 4,,HNO20,0,I,BO
1CN01223,Chuyên viên chính Kênh bán thay thế,MJ069S,01CN000026,1CN00227,Band 3,,HNO20,0,I,BO
1CN01046,Chuyên viên Kênh bán thay thế,MJ070C,01CN000026,1CN00227,Band 2,,HNO20,0,I,BO
1CN01277,Giám đốc Quan hệ Khách hàng Doanh nghiệp Vốn đầu tư nước ngoài Cấp 3 miền Nam,MJ029E,01CN000057,1CN00754,Band 5,,HCM01,0,A,RM
1CN00164,Giám đốc Quan hệ Khách hàng Doanh nghiệp Vốn đầu tư nước ngoài Cấp 2 miền Nam,MJ016E,01CN000057,1CN00119,Band 5,,HCM01,0,A,RM
1CN01119,Giám đốc Quan hệ Khách hàng Doanh nghiệp Vốn đầu tư nước ngoài Cấp 1 miền Nam,MJ017E,01CN000057,1CN00119,Band 4,,HCM01,0,A,RM
1CN01061,Trưởng nhóm Hỗ trợ Quan hệ Khách hàng Doanh nghiệp Vốn đầu tư Nước ngoài Miền Nam,MK001T,01CN000057,1CN00119,Band 4,,HCM01,1,A,ARM
1CN01382,Chuyên viên cao cấp Hỗ trợ Quan hệ Khách hàng Doanh nghiệp Vốn đầu tư nước ngoài miền Nam,MK012S,01CN000057,1CN01061,Band 4,,HCM01,0,A,ARM
1CN01169,Chuyên viên chính Hỗ trợ Quan hệ Khách hàng Doanh nghiệp Vốn đầu tư nước ngoài miền Nam,MK113S,01CN000057,1CN01061,Band 3,,HCM01,0,A,ARM
1CN01295,Chuyên viên Hỗ trợ Quan hệ Khách hàng Doanh nghiệp Vốn đầu tư nước ngoài miền Nam,MK118C,01CN000057,1CN01061,Band 2,,HCM01,0,A,ARM
1CN00390,Giám đốc Siêu Trung tâm Khách hàng Doanh nghiệp Hồ Chí Minh,BA016M,01CN000021,1CN00806,Band 7,,HCM01,1,I,BO
1CN00528,Giám đốc Trung tâm Khách hàng Doanh nghiệp Hồ Chí Minh,BA013M,01CN000037,1CN00488,Band 6,,HCM01,1,A,HH
1CN01094,Giám đốc Quản lý Quan hệ Khách hàng Doanh nghiệp Hồ Chí Minh,MJ011M,01CN000037,1CN00528,Band 5,,HCM01,1,A,TL
1CN00792,Giám đốc Quan hệ Khách hàng Doanh nghiệp Cấp 3 Hồ Chí Minh,MJ155E,01CN000021,1CN00528,,,HNO01,0,I,RM
1CN00111,Giám đốc Quan hệ Khách hàng Doanh nghiệp Cấp 2 Hồ Chí Minh,MJ113E,01CN000021,1CN00528,,,HNO01,0,I,RM
1CN00601,Giám đốc Quan hệ Khách hàng Doanh nghiệp Cấp 1 Hồ Chí Minh,MJ123S,01CN000021,1CN00528,,,HCM01,0,I,RM
1CN00857,Chuyên viên chính Quan hệ Khách hàng Doanh nghiệp Hồ Chí Minh,M00109,01CN000037,1CN00528,Band 3,,HCM01,0,A,RM
1CN00935,Chuyên viên Quan hệ Khách hàng Doanh nghiệp Hồ Chí Minh,M00110,01CN000037,1CN00528,Band 2,,HCM01,0,A,RM
1CN01164,Chuyên viên cao cấp Hỗ trợ Quan hệ Khách hàng Doanh nghiệp Hồ Chí Minh,MK014S,01CN000021,1CN00528,,,HNO01,0,I,ARM
1CN01082,Chuyên viên chính Hỗ trợ Quan hệ Khách hàng Doanh nghiệp Hồ Chí Minh,MK015S,01CN000021,1CN00528,,,HNO01,0,I,ARM
1CN00178,Chuyên gia cao cấp Ngành Vật liệu Xây dựng,MJ028E,01CN000088,1CN00274,,,HSC01,0,I,BO
1CN01020,Chuyên viên Hỗ trợ Quan hệ khách hàng Ngành Xây dựng - Vật liệu Xây dựng Miền Nam (Hồ Chí Minh),MK021C,01CN000075,1CN00220,Band 2,,HCM01,0,I,ARM
1CN00418,Chuyên viên chính Hỗ trợ Quan hệ Khách hàng Doanh nghiệp Vốn đầu tư nước ngoài miền Nam (Hồ Chí Minh),MK113S,01CN000057,1CN00815,Band 3,,HCM01,0,I,ARM
1CN00740,Chuyên viên Hỗ trợ Quan hệ Khách hàng Doanh nghiệp Vốn đầu tư nước ngoài Miền Bắc (Hà Nội),MK118C,01CN000057,1CN00284,,,HNO01,0,I,ARM
1CN01038,Giám đốc Quan hệ Khách hàng Doanh nghiệp Vốn đầu tư nước ngoài Cấp 1 Miền Bắc (Sở Giao dịch),MJ017E,01CN000057,1CN00284,Band 4,,HNO01,0,A,RM
1CN00116,Chuyên viên Vùng Cấp 1 Trung tâm Đối tác Kinh doanh Khu vực 2,MJ004S,01CN000005,1CN01229,Band 3,,HSC01,0,A,BO
1CN00070,Chuyên viên Vùng Cấp 1 Tổ Điều phối Hoạt động Kinh doanh Cấp 2,MJ004S,01CN000081,1CN00488,Band 3,,HSC02,0,A,BO
1CN00389,Giám đốc Quan hệ Khách hàng Doanh nghiệp Vốn đầu tư nước ngoài Cấp 2 Miền Nam (TP Hồ Chí Minh),MJ016E,01CN000057,1CN00815,Band 5,,HCM01,0,A,RM
1CN00730,Giám đốc Quan hệ Khách hàng Doanh nghiệp Cấp 2 Sở Giao dịch,MJ113E,01CN000017,1CN00901,,,HNO01,0,I,RM
1CN00695,Giám đốc Quan hệ Khách hàng Doanh nghiệp Cấp 1 Hoàng Mai (Hoàng Văn Thái),M00108,01CN000072,1CN00830,Band 4,,HNO65,0,A,RM
1CN01312,Chuyên viên chính Quan hệ Khách hàng Doanh nghiệp Sở Giao dịch,MJ115S,01CN000017,1CN00901,,,HNO01,0,I,RM
1CN00871,Giám đốc Quan hệ Khách hàng Doanh nghiệp Cấp 2 Hải Phòng,M00107,01CN000020,1CN00199,Band 4,,HPH01,0,A,RM
1CN00517,Giám đốc Quan hệ Khách hàng Doanh nghiệp Siêu nhỏ Cấp 1 Sở Giao dịch,MJ002S,01CN000033,1CN01062,Band 4,,HNO01,0,I,RM
1CN00074,Chuyên viên chính Quan hệ Khách hàng Doanh nghiệp Siêu nhỏ Sở Giao dịch,MJ120S,01CN000033,1CN01062,Band 3,,HNO01,0,I,RM
1CN01210,Chuyên viên Quan hệ Khách hàng Doanh nghiệp Siêu nhỏ Sở Giao dịch,MJ121C,01CN000033,1CN01062,Band 2,,HNO01,0,I,RM
1CN01293,Giám đốc Quan hệ Khách hàng Doanh nghiệp Cấp 2 Hồ Chí Minh,M00107,01CN000037,1CN00528,Band 4,,HCM01,0,A,RM
1CN01194,Giám đốc Quan hệ Khách hàng Doanh nghiệp Cấp 1 Hồ Chí Minh,M00108,01CN000037,1CN00528,Band 4,,HCM01,0,A,RM
1CN00254,Nhân viên Phê duyệt hạn mức và Phê duyệt kích hoạt thẻ,PB003C,01CN000055,1CN00908,Band 1,,HSC01,0,I,BO
1CN00493,Giám đốc Quan hệ Khách hàng Doanh nghiệp Siêu nhỏ Cấp 1 Hồ Chí Minh,MJ002S,01CN000037,1CN00528,Band 4,,HCM01,0,I,RM
1CN00252,Chuyên viên chính Quan hệ Khách hàng Doanh nghiệp Siêu nhỏ Hồ Chí Minh,MJ120S,01CN000037,1CN00528,Band 3,,HCM01,0,I,RM
1CN00984,Chuyên viên Quan hệ Khách hàng Doanh nghiệp Siêu nhỏ Hồ Chí Minh,MJ121C,01CN000037,1CN00528,Band 2,,HCM01,0,I,RM
1CN01105,Chuyên viên chính Quan hệ Khách hàng Doanh nghiệp Sở Giao dịch,MJ115S,01CN000017,1CN00274,,,HNO01,0,I,RM
1CN00400,Giám đốc Quan hệ Khách hàng Ngành Xây dựng - Vật liệu Xây dựng Miền Bắc (Sở Giao dịch),MJ010M,01CN000047,1CN00492,Band 6,,HNO01,1,I,BO
1CN00009,Chuyên viên chính Hỗ trợ Quan hệ khách hàng Doanh nghiệp lớn Ngành Miền Bắc,MK020S,01CN000047,1CN00407,Band 3,,HNO01,0,I,ARM
1CN00768,Chuyên viên chính Hỗ trợ Quan hệ khách hàng Ngành Xây dựng - Vật liệu Xây dựng Miền Nam (Hồ Chí Minh),MK020S,01CN000075,1CN00220,Band 3,,HCM01,0,I,ARM
1CN00049,Giám đốc Quan hệ Khách hàng Doanh nghiệp lớn Cấp 3 Miền Bắc 5,MJ161E,01CN000017,1CN00290,Band 5,,HNO01,0,A,RM
1CN00658,Giám đốc Quan hệ Khách hàng Doanh nghiệp lớn Cấp 2 Miền Bắc 5,MJ162E,01CN000017,1CN00290,Band 5,,HNO01,0,A,RM
1CN00142,Giám đốc Quan hệ Khách hàng Doanh nghiệp lớn Cấp 1 Miền Bắc 5,MJ163S,01CN000017,1CN00290,Band 4,,HNO01,0,A,RM
1CN01170,Chuyên viên cao cấp Hỗ trợ Quan hệ Khách hàng Doanh nghiệp lớn Miền Bắc 5,MK090S,01CN000017,1CN00290,Band 4,,HNO01,0,A,ARM
1CN01074,Giám đốc Quan hệ Khách hàng Doanh nghiệp lớn Cấp 3 Miền Nam 6,MJ161E,01CN000021,1CN01328,Band 5,,HCM01,0,A,RM
1CN00869,Giám đốc Quan hệ Khách hàng Doanh nghiệp lớn Cấp 2 Miền Nam 6,MJ162E,01CN000021,1CN01328,Band 5,,HCM01,0,A,RM
1CN00929,Giám đốc Quan hệ Khách hàng Doanh nghiệp lớn Cấp 1 Miền Nam 6,MJ163S,01CN000021,1CN01328,Band 4,,HCM01,0,A,RM
1CN00941,Chuyên viên cao cấp Hỗ trợ Quan hệ Khách hàng Doanh nghiệp lớn Miền Nam 6,MK090S,01CN000021,1CN01328,Band 4,,HCM01,0,A,ARM
1CN01221,Chuyên viên chính Hỗ trợ Quan hệ Khách hàng Doanh nghiệp Hồ Chí Minh,MK015S,01CN000037,1CN00528,Band 3,,HCM01,0,I,ARM
1CN00407,Giám đốc Quản lý Quan hệ khách hàng Doanh nghiệp lớn Ngành Miền Bắc,MJ010M,01CN000047,1CN00274,Band 6,,HNO01,1,I,TL
1CN00425,Giám đốc Quan hệ khách hàng Doanh nghiệp lớn Ngành Cấp 3 Miền Nam,MJ026E,01CN000075,1CN00220,Band 5,,HCM01,0,I,RM
1CN00438,Giám đốc Quan hệ khách hàng Doanh nghiệp lớn Ngành Cấp 2 Miền Nam,MJ027E,01CN000075,1CN00220,Band 5,,HCM01,0,I,RM
1CN00220,Giám đốc Quản lý Quan hệ khách hàng Doanh nghiệp lớn Ngành Miền Nam,MJ010M,01CN000075,1CN01013,Band 6,,HCM01,1,I,TL
1CN00261,Chuyên viên chính Hỗ trợ Quan hệ khách hàng Ngành Xây dựng - Vật liệu Xây dựng Miền Bắc,MK020S,01CN000047,1CN00400,Band 3,,HNO01,0,I,ARM
1CN00452,Chuyên viên chính Hỗ trợ Quan hệ khách hàng Doanh nghiệp lớn Ngành Miền Nam,MK020S,01CN000075,1CN00220,Band 3,,HCM01,0,I,ARM
1CN01177,Chuyên viên Hỗ trợ Quan hệ khách hàng Doanh nghiệp lớn Ngành Miền Nam,MK021C,01CN000075,1CN00220,Band 2,,HCM01,0,I,ARM
1CN01199,Giám đốc Quan hệ Khách hàng Doanh nghiệp Vốn đầu tư nước ngoài Cấp 1 miền Nam (Đồng Nai),MJ017E,01CN000057,1CN00754,Band 4,,DNA01,0,A,RM
1CN01181,Nhân viên Giao nhận hồ sơ Sở giao dịch,FD500C,01CN000033,1CN00901,Band 1,,HNO01,0,I,BO
1CN00003,Nhân viên Giao nhận hồ sơ Hồ Chí Minh,FD500C,01CN000021,1CN00390,Band 1,,HCM01,0,I,BO
1CN01120,Giám đốc Bán hàng Ngân hàng Giao dịch Cấp 1 Miền Bắc (Hải Phòng),KF007T,01CN000052,1CN01147,Band 4,,HPH01,0,I,BO
1CN00912,Giám đốc Bán hàng Ngân hàng Giao dịch Cấp 1 Miền Nam,KF007T,01CN000052,1CN01115,Band 4,,HSC02,0,I,BO
1CN00393,Phó Giám đốc Hỗ trợ kinh doanh,MK187M,01CN000015,1CN01324,Band 5,,HSC01,1,I,BO
1CN00270,Chuyên viên Hỗ trợ Miền (Đà Nẵng),MK050S,01CN000058,1CN01052,,,DAN01,0,I,BO
1CN00582,Giám đốc Quan hệ Khách hàng Doanh nghiệp Cấp 3 Hồ Chí Minh (Bình Dương),MJ155E,01CN000021,1CN00390,,,BDU01,0,I,RM
1CN00210,Giám đốc Quan hệ Khách hàng Doanh nghiệp Cấp 3 Hồ Chí Minh (Vũng Tàu),MJ155E,01CN000021,1CN00390,,,BRV01,0,I,RM
1CN00635,Giám đốc Quan hệ Khách hàng Ngành Xây dựng - Vật liệu Xây dựng Cấp 3 Miền Bắc (Sở Giao dịch),MJ026E,01CN000047,1CN00400,Band 5,,HNO01,0,I,BO
1CN00326,Giám đốc Quan hệ Khách hàng Ngành Xây dựng - Vật liệu Xây dựng Cấp 3 Miền Nam (Hồ Chí Minh),MJ026E,01CN000075,1CN00220,Band 5,,HCM01,0,I,BO
1CN00468,Giám đốc Quan hệ Khách hàng Doanh nghiệp Vốn đầu tư nước ngoài Cấp 3 Miền Bắc (Hà Nội),MJ029E,01CN000057,1CN00284,,,HNO01,0,I,RM
1CN01043,Giám đốc Kinh doanh Miền Nam (Hồ Chí Minh),MJ152M,01CN000057,1CN00754,Band 6,,HCM01,1,I,BO
1CN00765,Giám đốc Quan hệ Khách hàng Doanh nghiệp Cấp 1 Hà Đông (Văn Quán),M00108,01CN000024,1CN00800,Band 4,,HNO49,0,A,RM
