job_code,job_name,job_family,job_short_name,job_group_id,job_group_code,job_group_name,job_category,revenue_flag,sale_flag
MH031S,Chuyên viên chính Giải pháp Tín dụng (Ngân hàng Đối tác Chiến lược),"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG01,BO,Back Office,Bussiness,0,0
MH032E,Chuyên gia Giải pháp Kênh phi vật lý (Ngân hàng Đối tác Chiến lược),"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG01,BO,Back Office,Bussiness,0,0
MH032M,Giám đốc Giải pháp Tín dụng (EB),"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG01,BO,Back Office,Bussiness,0,0
MH033E,Chuyên gia Ban Khách hàng Chiến lược Khu vực 2 (Ngân hàng Đối tác Chiến lược),"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG01,BO,Back Office,Bussiness,0,0
MH033M,Giám đốc Ban Giải pháp Ngân hàng Giao dịch (Ngân hàng Đối tác Chiến lược),"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG01,BO,Back Office,Bussiness,0,0
MH034E,Chuyên gia Giải pháp Chuỗi cung ứng,"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG01,BO,Back Office,Bussiness,0,0
MH034M,Giám đốc Giải pháp Phi tín dụng (Ngân hàng Đối tác Chiến lược),"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG01,BO,Back Office,Bussiness,0,0
MH035E,Chuyên gia Giải pháp Bán chéo,"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG01,BO,Back Office,Bussiness,0,0
MH036M,Giám đốc Giải pháp Kênh phi vật lý (Ngân hàng Đối tác Chiến lược),"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG01,BO,Back Office,Bussiness,0,0
MH037M,Giám đốc Ban Khách hàng Chiến lược Khu vực 2 (Ngân hàng Đối tác Chiến lược),"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG01,BO,Back Office,Bussiness,0,0
MH038M,Giám đốc Giải pháp Chuỗi cung ứng,"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG01,BO,Back Office,Bussiness,0,0
MH040S,Chuyên viên cao cấp Giải pháp Phi tín dụng (Ngân hàng Đối tác Chiến lược),"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG01,BO,Back Office,Bussiness,0,0
MH041M,Giám đốc Giải pháp Bán chéo,"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG01,BO,Back Office,Bussiness,0,0
MH043S,Chuyên viên chính Giải pháp Phi tín dụng (Ngân hàng Đối tác Chiến lược),"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG01,BO,Back Office,Bussiness,0,0
MH044C,Chuyên viên Giải pháp Phi tín dụng (Ngân hàng Đối tác Chiến lược),"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG01,BO,Back Office,Bussiness,0,0
MH044S,Chuyên viên cao cấp Giải pháp Kênh phi vật lý (Ngân hàng Đối tác Chiến lược),"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG01,BO,Back Office,Bussiness,0,0
MH047S,Chuyên viên chính Giải pháp Kênh phi vật lý (Ngân hàng Đối tác Chiến lược),"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG01,BO,Back Office,Bussiness,0,0
MH048C,Chuyên viên Giải pháp Kênh phi vật lý (Ngân hàng Đối tác Chiến lược),"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG01,BO,Back Office,Bussiness,0,0
MH048S,Chuyên viên cao cấp Ban Khách hàng Chiến lược Khu vực 2 (Ngân hàng Đối tác Chiến lược),"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG01,BO,Back Office,Bussiness,0,0
MH049C,Chuyên viên Ban Khách hàng Chiến lược Khu vực 2 (Ngân hàng Đối tác Chiến lược),"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG01,BO,Back Office,Bussiness,0,0
MH050C,Chuyên viên Giải pháp Chuỗi cung ứng,"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG01,BO,Back Office,Bussiness,0,0
MH051S,Chuyên viên chính Ban Khách hàng Chiến lược Khu vực 2 (Ngân hàng Đối tác Chiến lược),"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG01,BO,Back Office,Bussiness,0,0
MH052S,Chuyên viên cao cấp Giải pháp Chuỗi cung ứng,"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG01,BO,Back Office,Bussiness,0,0
MH055S,Chuyên viên chính Giải pháp Chuỗi cung ứng,"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG01,BO,Back Office,Bussiness,0,0
MH063S,Chuyên viên cao cấp Giải pháp Bán chéo,"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG01,BO,Back Office,Bussiness,0,0
MH064S,Chuyên viên chính Giải pháp Bán chéo,"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG01,BO,Back Office,Bussiness,0,0
MH065C,Chuyên viên Giải pháp Bán chéo,"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG01,BO,Back Office,Bussiness,0,0
MJ001E,Giám đốc Quan hệ Khách hàng Doanh nghiệp vừa Cấp 3 (Ngân hàng Đối tác Chiến lược),"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG04,RM,RM,Bussiness,1,1
MJ001T,Trưởng nhóm Kênh bán thay thế (Ngân hàng Đối tác Chiến lược),,,JG01,BO,Back Office,Bussiness,0,0
MJ002S,Giám đốc Quan hệ Khách hàng Kinh doanh Cấp 1,"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG01,BO,Back Office,Bussiness,0,0
MJ003C,Chuyên viên Phân khúc Khách hàng Thương mại (Ngân hàng Đối tác Chiến lược),"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG01,BO,Back Office,Bussiness,0,0
MJ003M,Giám đốc Ngành (Ngân hàng Đối tác Chiến lược),"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG01,BO,Back Office,Bussiness,0,0
MJ004C,Chuyên viên Phân khúc Khách hàng Xây dựng (Ngân hàng Đối tác Chiến lược),"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG01,BO,Back Office,Bussiness,0,0
MJ004M,Giám đốc Bán hàng Ngân hàng Giao dịch (Ngân hàng Đối tác Chiến lược),"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG01,BO,Back Office,Bussiness,0,0
MJ004S,Chuyên viên Vùng Cấp 1 (Ngân hàng Đối tác Chiến lược),"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG01,BO,Back Office,Bussiness,0,0
MJ005M,Giám đốc Bán hàng Miền Ngân hàng Giao dịch (Ngân hàng Đối tác Chiến lược),"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG01,BO,Back Office,Bussiness,0,0
MJ006M,Giám đốc Trung tâm Quản lý và Phòng Tăng trưởng Kinh doanh Miền Bắc (Ngân hàng Đối tác Chiến lược),"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG01,BO,Back Office,Bussiness,0,0
MJ007S,Chuyên viên chính Bán hàng Ngân hàng Giao dịch (Ngân hàng Đối tác Chiến lược),"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG01,BO,Back Office,Bussiness,0,0
MJ008C,Chuyên viên Phát triển Khách hàng Doanh nghiệp (Ngân hàng Đối tác Chiến lược),"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG01,BO,Back Office,Bussiness,0,0
MJ008M,Giám đốc Khách hàng Doanh nghiệp lớn Miền (Ngân hàng Đối tác Chiến lược),"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG01,BO,Back Office,Bussiness,0,0
MJ009C,Chuyên viên Quan hệ Khách hàng Doanh nghiệp Upper,"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG04,RM,RM,Bussiness,1,1
MJ036M,Giám đốc Trung tâm Khách hàng Doanh nghiệp vừa Miền (Ngân hàng Đối tác Chiến lược),"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG03,HH,Head Hub,Bussiness,1,1
MJ010M,Giám đốc Quản lý Quan hệ khách hàng Doanh nghiệp lớn Ngành Miền (Ngân hàng Đối tác Chiến lược),"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG05,TL,Teamlead,Bussiness,1,1
MJ010S,Giám đốc Phát triển Khách hàng Doanh nghiệp Cấp 2 (Ngân hàng Đối tác Chiến lược),"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG01,BO,Back Office,Bussiness,0,0
MJ011M,Giám đốc Quản lý Quan hệ Khách hàng Doanh nghiệp (Ngân hàng Đối tác Chiến lược),"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG05,TL,Teamlead,Bussiness,1,1
MJ011S,Giám đốc Phát triển Khách hàng Doanh nghiệp Cấp 1 (Ngân hàng Đối tác Chiến lược),"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG01,BO,Back Office,Bussiness,0,0
MJ012C,Chuyên viên Phân khúc Khách hàng Sản xuất (Ngân hàng Đối tác Chiến lược),"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG01,BO,Back Office,Bussiness,0,0
MJ012M,Giám đốc Phòng Kênh Phân phối Đối tác Cấp 3 (Ngân hàng Đối tác Chiến lược),"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG01,BO,Back Office,Bussiness,0,0
MJ012S,Giám đốc Quan hệ Khách hàng Doanh nghiệp siêu nhỏ cấp 1 Miền Bắc,"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG04,RM,RM,Bussiness,1,1
MJ013S,Giám đốc Quan hệ Khách hàng Doanh nghiệp siêu nhỏ cấp 1 Miền Nam,"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG04,RM,RM,Bussiness,1,1
MJ014M,Giám đốc Quản lý Quan hệ Khách hàng Doanh nghiệp Vốn đầu tư nước ngoài (Ngân hàng Đối tác Chiến lược),"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG05,TL,Teamlead,Bussiness,1,1
MJ014S,Chuyên viên chính Quan hê Khách hàng Doanh nghiệp Siêu nhỏ Miền Bắc,"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG01,BO,Back Office,Bussiness,0,0
MJ015S,Chuyên viên chính Quan hê Khách hàng Doanh nghiệp Siêu nhỏ Miền Nam,"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG01,BO,Back Office,Bussiness,0,0
MJ016E,Giám đốc Quan hệ Khách hàng Doanh nghiệp Vốn đầu tư nước ngoài Cấp 2 (Ngân hàng Đối tác Chiến lược),"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG04,RM,RM,Bussiness,1,1
MJ017E,Giám đốc Quan hệ Khách hàng Doanh nghiệp Vốn đầu tư nước ngoài Cấp 1 (Ngân hàng Đối tác Chiến lược),"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG04,RM,RM,Bussiness,1,1
MJ017S,Giám đốc Quan hệ Khách hàng Ngành cấp 1,"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG01,BO,Back Office,Bussiness,0,0
MJ018M,Giám đốc Trung tâm Phân khúc Khách hàng Doanh nghiệp (Ngân hàng Đối tác Chiến lược),"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG01,BO,Back Office,Bussiness,0,0
MJ018S,Giám đốc Quan hệ Khách hàng Doanh nghiệp vừa Cấp 2 (Ngân hàng Đối tác Chiến lược),"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG04,RM,RM,Bussiness,1,1
MJ019E,Chuyên gia Phân khúc Khách hàng Thương mại (Ngân hàng Đối tác Chiến lược),"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG01,BO,Back Office,Bussiness,0,0
MJ019M,Giám đốc Phân khúc Khách hàng Thương mại (Ngân hàng Đối tác Chiến lược),"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG01,BO,Back Office,Bussiness,0,0
MJ019S,Chuyên viên cao cấp Phân khúc Khách hàng Thương mại (Ngân hàng Đối tác Chiến lược),"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG01,BO,Back Office,Bussiness,0,0
MJ020E,Chuyên gia Phân khúc Khách hàng Sản xuất (Ngân hàng Đối tác Chiến lược),"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG01,BO,Back Office,Bussiness,0,0
MJ020S,Chuyên viên chính Phân khúc Khách hàng Thương mại (Ngân hàng Đối tác Chiến lược),"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG01,BO,Back Office,Bussiness,0,0
MJ021E,Chuyên gia Phân khúc Khách hàng Xây dựng (Ngân hàng Đối tác Chiến lược),"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG01,BO,Back Office,Bussiness,0,0
MJ021M,Giám đốc Phân khúc Khách hàng Sản xuất (Ngân hàng Đối tác Chiến lược),"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG01,BO,Back Office,Bussiness,0,0
MJ021S,Chuyên viên cao cấp Phân khúc Khách hàng Sản xuất (Ngân hàng Đối tác Chiến lược),"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG01,BO,Back Office,Bussiness,0,0
MJ022M,Giám đốc Phân khúc Khách hàng Xây dựng (Ngân hàng Đối tác Chiến lược),"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG01,BO,Back Office,Bussiness,0,0
MJ022S,Chuyên viên chính Phân khúc Khách hàng Sản xuất (Ngân hàng Đối tác Chiến lược),"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG01,BO,Back Office,Bussiness,0,0
MJ023E,Chuyên gia Phân khúc Khách hàng Siêu nhỏ,"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG01,BO,Back Office,Bussiness,0,0
MJ023M,Giám đốc Phân khúc Khách hàng Siêu nhỏ,"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG01,BO,Back Office,Bussiness,0,0
MJ023S,Chuyên viên cao cấp Phân khúc Khách hàng Xây dựng (Ngân hàng Đối tác Chiến lược),"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG01,BO,Back Office,Bussiness,0,0
MJ024S,Chuyên viên chính Phân khúc Khách hàng Xây dựng (Ngân hàng Đối tác Chiến lược),"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG01,BO,Back Office,Bussiness,0,0
MJ025S,Chuyên viên cao cấp Phân khúc Khách hàng Siêu nhỏ,"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG01,BO,Back Office,Bussiness,0,0
MJ026E,Giám đốc Quan hệ khách hàng Doanh nghiệp lớn Ngành Cấp 3 (Ngân hàng Đối tác Chiến lược),"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG04,RM,RM,Bussiness,1,1
MJ026M,Giám đốc Quản lý Quan hệ Khách hàng Doanh nghiệp lớn (Ngân hàng Đối tác Chiến lược),"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG05,TL,Teamlead,Bussiness,1,1
MJ026S,Chuyên viên chính Phân khúc Khách hàng Siêu nhỏ,"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG01,BO,Back Office,Bussiness,0,0
MJ027E,Giám đốc Quan hệ khách hàng Doanh nghiệp lớn Ngành Cấp 2 (Ngân hàng Đối tác Chiến lược),"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG04,RM,RM,Bussiness,1,1
MJ027S,Chuyên viên Phân khúc Khách hàng Siêu nhỏ,"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG01,BO,Back Office,Bussiness,0,0
MJ028E,Chuyên gia Ngành Xây dựng - Vật liệu Xây dựng,"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG01,BO,Back Office,Bussiness,0,0
MM016D,Giám đốc Phòng Quản lý Chất lượng Dịch vụ Miền Trung,"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG03,HH,Head Hub,Bussiness,1,1
MJ028S,Chuyên viên chính Phát triển Khách hàng Doanh nghiệp (Ngân hàng Đối tác Chiến lược),"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG01,BO,Back Office,Bussiness,0,0
MJ029E,Giám đốc Quan hệ Khách hàng Doanh nghiệp Vốn đầu tư nước ngoài Cấp 3 (Ngân hàng Đối tác Chiến lược),"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG04,RM,RM,Bussiness,1,1
MJ029S,Giám đốc Quan hệ Khách hàng Doanh nghiệp Upper Cấp 2 (Ngân hàng Đối tác Chiến lược),"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG04,RM,RM,Bussiness,1,1
MJ030S,Giám đốc Quan hệ Khách hàng Doanh nghiệp vừa Cấp 1 (Ngân hàng Đối tác Chiến lược),"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG04,RM,RM,Bussiness,1,1
MJ031S,Chuyên viên chính Quan hệ Khách hàng Doanh nghiệp vừa (Ngân hàng Đối tác Chiến lược),"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG04,RM,RM,Bussiness,1,1
M00149,Phó Giám đốc Khách hàng Doanh nghiệp Lớn Miền (Ngân hàng Đối tác Chiến lược),"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG01,BO,Back Office,Bussiness,0,0
MJ032M,Phó Giám đốc Ngành Xây dựng - Vật liệu xây dựng,"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG01,BO,Back Office,Bussiness,0,0
MJ034M,Giám đốc Quản lý Quan hệ Khách hàng Doanh nghiệp siêu nhỏ,"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG05,TL,Teamlead,Bussiness,1,1
MJ035S,Chuyên viên chính Hỗ trợ Kênh Bán hàng và Phân phối (Ngân hàng Đối tác Chiến lược),"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG01,BO,Back Office,Bussiness,0,0
MJ028M,Giám đốc Trung tâm Khách hàng Doanh nghiệp Siêu nhỏ Miền Bắc,"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG03,HH,Head Hub,Bussiness,1,1
MJ037M,Giám đốc Quản lý Quan hệ Khách hàng Doanh nghiệp vừa (Ngân hàng Đối tác Chiến lược),"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG05,TL,Teamlead,Bussiness,1,1
MJ043S,Giám đốc Quan hệ Khách hàng Doanh nghiệp Upper Cấp 1 (Ngân hàng Đối tác Chiến lược),"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG04,RM,RM,Bussiness,1,1
MJ044S,Chuyên viên chính Quan hệ Khách hàng Doanh nghiệp Upper (Ngân hàng Đối tác Chiến lược),"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG04,RM,RM,Bussiness,1,1
MJ065M,Giám đốc Kênh bán thay thế (Ngân hàng Đối tác Chiến lược),"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG01,BO,Back Office,Bussiness,0,0
MJ065S,Chuyên viên cao cấp Kênh bán thay thế (Ngân hàng Đối tác Chiến lược),"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG01,BO,Back Office,Bussiness,0,0
MJ069S,Chuyên viên chính Kênh bán thay thế (Ngân hàng Đối tác Chiến lược),"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG01,BO,Back Office,Bussiness,0,0
MJ070C,Chuyên viên Kênh bán thay thế (Ngân hàng Đối tác Chiến lược),"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG01,BO,Back Office,Bussiness,0,0
MJ111M,Giám đốc Kinh doanh Vùng (Ngân hàng Đối tác Chiến lược),"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG01,BO,Back Office,Bussiness,0,0
MJ113E,Giám đốc Quan hệ Khách hàng Doanh nghiệp cấp 2,"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG04,RM,RM,Bussiness,1,1
MJ115C,Chuyên viên Quan hệ Khách hàng Doanh nghiệp khởi nghiệp,"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG04,RM,RM,Bussiness,1,1
MJ115S,Chuyên viên chính Quan hệ Khách hàng Doanh nghiệp (Ngân hàng Bán lẻ),"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG04,RM,RM,Bussiness,1,1
MJ120S,Chuyên viên chính Quan hệ Khách hàng Kinh doanh,"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG01,BO,Back Office,Bussiness,0,0
MJ121C,Chuyên viên Quan hệ Khách hàng Kinh doanh,"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG01,BO,Back Office,Bussiness,0,0
MJ123S,Giám đốc Quan hệ Khách hàng Doanh nghiệp cấp 1,"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG04,RM,RM,Bussiness,1,1
MJ152M,Giám đốc Kinh doanh Miền,"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG01,BO,Back Office,Bussiness,0,0
